rank	vhag_code	prop_3260	sac_streams	grts_ranking	grts_ranking_draw	segment_id	point_code	db_ref
238546	9512	85	intersecting or downstream	63762	63762	1_4_783	63762_1	Dommel_05
39410	9501	100	intersecting or downstream	21040626	69106	1_7_20153	69106_1	Maas_29
212356	9536	79	intersecting or downstream	30497458	88754	1_4_329	88754_1	Berwijn_01
209501	8038	100	outside	33648082	93650	1_4_1495	93650_1	Stiemer_01
218833	9574	100	outside	9569154	131970	1_4_31	131970_1	NA
46049	8797	46	outside	33819254	264822	1_7_54997	264822_1	KlHGr_03
39294	9501	100	intersecting or downstream	58986834	266578	1_4_188	266578_1	Maas_08
206742	8634	26	outside	9272438	359542	1_7_166695	359542_1	SchNe_09
166731	8836	65	outside	38126838	378102	1_4_1309	378102_1	LoeNe_01
212347	9536	100	intersecting or downstream	47839410	391346	1_4_320	391346_1	Berwijn_02
113051	8589	48	outside	54948086	422134	1_7_47415	422134_1	DalLo_01
39208	9501	100	intersecting or downstream	426066	426066	1_7_7733	426066_1	Maas_30
176607	2205	100	outside	20554433	434881	1_4_1464	434881_1	ZilBe_01
39314	9501	100	intersecting or downstream	37135698	435538	1_4_208	435538_1	Maas_09
206688	8634	100	outside	483446	483446	1_4_1172	483446_1	SchNe_01
5562	113	100	outside	485342	485342	1_4_1143	485342_1	AntGr_01
5598	113	100	outside	526302	526302	NA	NA	NA
213945	10004	10	intersecting or downstream	51415634	559698	1_4_674	559698_1	BosBe_01
39118	9501	100	intersecting or downstream	4850082	655778	1_7_8876	655778_1	NA
238643	9512	100	intersecting or downstream	9067282	678674	1_4_899	678674_1	Dommel_08
39064	9501	100	intersecting or downstream	690658	690658	1_7_8910	690658_1	NA
5591	113	100	outside	722910	722910	NA	NA	NA
259139	8710	4	intersecting or downstream	756982	756982	1_4_851	756982_1	DesNe_02
238538	9512	100	intersecting or downstream	61602066	784658	1_4_102	784658_1	Dommel_04
39297	9501	100	intersecting or downstream	17568082	790866	1_4_191	790866_1	Maas_10
39220	9501	100	intersecting or downstream	38568018	819282	1_4_114	819282_1	Maas_03
218778	9574	34	intersecting or downstream	871858	871858	NA	NA	NA
238593	9512	100	intersecting or downstream	59666706	946450	1_4_95	946450_1	Dommel_03
