rank	vhag_code	prop_3260	sac_streams	grts_ranking	grts_ranking_draw	segment_id	point_code	db_ref
216087	9522	100	intersecting or downstream	17724242	947026	1_4_516	947026_1	IttBe_01
104303	10047	55	outside	34507102	952670	1_4_1515	952670_1	MunLo_01
206705	8634	100	outside	1006710	1006710	1_4_1189	1006710_1	SchNe_02
238527	9512	100	intersecting or downstream	1018130	1018130	1_4_1117	1018130_1	Dommel_10
255443	9508	19	outside	28827666	1040402	1_7_140445	1040402_1	WarBe_06
98889	9755	84	intersecting or downstream	1047854	1047854	NA	NA	NA
111616	9670	92	intersecting or downstream	1047854	1047854	1_4_1088	1047854_1	NooMa_02
39488	9501	100	intersecting or downstream	37311730	1135858	1_4_1811	1135858_1	Maas_18
209503	8038	100	outside	17919442	1142226	1_4_1497	1142226_1	NA
175059	1179	100	intersecting or downstream	2201665	1153089	1_7_121104	1153089_1	BorBe_03
39139	9501	100	intersecting or downstream	53666210	1237410	1_7_8855	1237410_1	Maas_33
255363	9508	4	intersecting or downstream	1269266	1269266	1_4_422	1269266_1	WarBe_01
39475	9501	100	intersecting or downstream	26474994	1309170	1_4_1824	1309170_1	Maas_19
33364	8569	100	outside	1354614	1354614	1_7_166720	1354614_1	MolNeZ_01
206682	8634	100	outside	1370998	1370998	1_4_1166	1370998_1	SchNe_03
46041	8797	100	outside	16124534	1444470	1_7_55005	1444470_1	KlHGr_04
39313	9501	100	intersecting or downstream	18261330	1484114	1_4_207	1484114_1	Maas_11
206660	8634	100	outside	17488758	1497974	1_4_565	1497974_1	NA
206654	8634	100	outside	1530742	1530742	NA	NA	NA
123596	8502	74	intersecting or downstream	56337398	1549302	1_7_23080	1549302_1	KleNe_08
255481	9508	35	outside	1553426	1553426	NA	NA	NA
143992	8991	100	outside	1593558	1593558	NA	NA	NA
206714	8634	100	outside	35150966	1596534	1_4_1198	1596534_1	SchNe_05
209511	8038	72	outside	30978514	1618386	1_4_593	1618386_1	Stiemer_03
197911	8956	57	intersecting or downstream	1685846	1685846	NA	NA	NA
238747	9512	100	outside	1704146	1704146	1_4_73	1704146_1	Dommel_13
166760	8836	100	outside	52094198	1762550	1_4_1320	1762550_1	LoeNe_02
255412	9508	100	intersecting or downstream	1764882	1764882	1_7_3419	1764882_1	WarBe_04
124218	8953	76	intersecting or downstream	53352310	1841014	1_7_31125	1841014_2	Asbeek_03
39219	9501	100	intersecting or downstream	1867858	1867858	1_7_7177	1867858_1	NA
255356	9508	98	intersecting or downstream	18657810	1880594	1_4_435	1880594_1	NA
39231	9501	100	intersecting or downstream	15548498	1917010	1_4_125	1917010_1	Maas_04
194186	7441	100	intersecting or downstream	2031030	2031030	NA	NA	NA
194187	7441	100	intersecting or downstream	52039094	2031030	1_7_171136	2031030_2	KleBe_01
238513	9512	100	intersecting or downstream	56576274	2050322	1_7_20555	2050322_1	Dommel_11
144632	9702	100	intersecting or downstream	27289810	2123986	1_7_19326	2123986_1	BolBe_09
206678	8634	100	outside	6318966	2124662	1_7_34547	2124662_1	SchNe_10
255430	9508	100	outside	18907154	2129938	1_4_404	2129938_1	WarBe_03
224817	8501	100	intersecting or downstream	35687926	2133494	1_4_1393	2133494_1	GroNe_10
176609	2205	100	outside	2151105	2151105	1_4_1466	2151105_1	ZilBe_02
238545	9512	100	intersecting or downstream	2160914	2160914	NA	NA	NA
83584	42787	13	intersecting or downstream	14490350	2169582	1_7_46206	2169582_1	RoDeG_01
39328	9501	100	intersecting or downstream	46589266	2221394	1_4_222	2221394_1	Maas_16
212376	9536	100	intersecting or downstream	56767922	2241970	1_4_348	2241970_1	Berwijn_03
238519	9512	100	intersecting or downstream	31607058	2246930	1_4_1110	2246930_1	Dommel_09
39376	9501	100	intersecting or downstream	56778226	2252274	1_4_270	2252274_1	Maas_20
123545	8502	100	intersecting or downstream	48429014	2291670	1_4_603	2291670_1	KleNe_03
39224	9501	100	intersecting or downstream	31703122	2342994	1_4_118	2342994_1	Maas_05
206697	8634	100	outside	24386678	2366582	1_4_1182	2366582_1	NA
213813	10004	100	intersecting or downstream	22030162	2369362	1_4_55	2369362_1	BosBe_02
209504	8038	16	outside	56913362	2387410	1_4_1498	2387410_1	NA
238649	9512	68	intersecting or downstream	54876946	2448146	1_7_3495	2448146_1	Dommel_12
224825	8501	67	intersecting or downstream	15048182	2465270	1_4_1402	2465270_1	GroNe_09
39440	9501	100	intersecting or downstream	46516722	2476530	1_4_1859	2476530_1	Maas_21
39398	9501	100	intersecting or downstream	2477554	2477554	1_4_292	2477554_1	Maas_22
47689	10163	100	intersecting or downstream	2485086	2485086	1_4_806	2485086_1	GouLo_12
39121	9501	100	intersecting or downstream	36053410	2498978	1_7_8873	2498978_1	NA
206723	8634	100	outside	2505846	2505846	NA	NA	NA
5561	113	100	outside	2516958	2516958	NA	NA	NA
39306	9501	100	intersecting or downstream	39457106	2548050	1_4_200	2548050_1	Maas_12
144627	9702	70	intersecting or downstream	64432338	2566354	1_7_19473	2566354_1	BolBe_10
218819	9574	100	intersecting or downstream	19366786	2589570	1_4_956	2589570_1	Voer_02
259169	8710	100	intersecting or downstream	23656566	2685046	1_4_1458	2685046_1	DesNe_03
46039	8797	100	outside	4803190	2706038	1_7_55007	2706038_1	KlHGr_06
166762	8836	86	outside	2811126	2811126	1_7_30980	2811126_1	LoeNe_03
123769	8504	85	intersecting or downstream	54197974	2817750	1_7_27117	2817750_1	DeAa_01
39484	9501	100	intersecting or downstream	27088114	2853618	1_4_1815	2853618_1	Maas_23
238623	9512	34	intersecting or downstream	57518866	2992914	1_4_926	2992914_1	Dommel_06
45967	8797	87	intersecting or downstream	27378550	2999158	1_7_38243	2999158_1	KlHGr_02
39359	9501	100	intersecting or downstream	53366258	3034610	1_4_253	3034610_1	NA
5557	113	100	outside	30304222	3041246	1_4_1139	3041246_1	AntGr_02
218824	9574	100	outside	19825538	3048322	1_4_24	3048322_1	Voer_09
39056	9501	100	intersecting or downstream	1018338	3115490	1_4_969	3115490_2	Maas_01
39057	9501	100	intersecting or downstream	3115490	3115490	NA	NA	NA
206694	8634	100	outside	52436086	3153014	1_4_1179	3153014_1	SchNe_07
212387	9536	100	intersecting or downstream	3173042	3173042	1_4_359	3173042_1	Berwijn_04
39446	9501	100	intersecting or downstream	11586034	3197426	1_4_1852	3197426_1	Maas_24
194175	7441	100	intersecting or downstream	3210678	3210678	NA	NA	NA
39411	9501	100	intersecting or downstream	50400754	3214834	1_7_20152	3214834_1	Maas_36
39264	9501	100	intersecting or downstream	57239890	3238226	1_4_158	3238226_1	Maas_13
238582	9512	6	intersecting or downstream	58552594	3240210	1_4_1054	3240210_2	Dommel_02
39075	9501	100	intersecting or downstream	3328482	3328482	1_7_8899	3328482_1	NA
255406	9508	100	intersecting or downstream	45084178	3337746	1_7_3424	3337746_2	WarBe_05
255407	9508	100	intersecting or downstream	3337746	3337746	NA	NA	NA
259138	8710	100	intersecting or downstream	3378422	3378422	NA	NA	NA
39279	9501	100	intersecting or downstream	58976594	3402066	1_4_173	3402066_1	Maas_14
39234	9501	100	intersecting or downstream	29358418	3406162	1_4_128	3406162_1	Maas_06
218800	9574	100	intersecting or downstream	57957810	3431858	1_4_1041	3431858_1	Voer_06
238616	9512	99	intersecting or downstream	20259090	3481874	1_4_919	3481874_1	Dommel_07
218761	9574	100	intersecting or downstream	3483058	3483058	1_4_9	3483058_1	Voer_01
39413	9501	100	intersecting or downstream	20376050	3598834	1_7_20150	3598834_1	Maas_38
216091	9522	100	intersecting or downstream	3634002	3634002	1_7_27889	3634002_1	IttBe_02
221119	9766	100	intersecting or downstream	31242226	3717106	1_7_114570	3717106_1	ZieBe_01
224928	8501	100	intersecting or downstream	37283702	3729270	1_4_1535	3729270_1	GroNe_07
39149	9501	100	intersecting or downstream	3734610	3734610	1_7_8845	3734610_1	NA
39489	9501	100	intersecting or downstream	3757298	3757298	1_4_1810	3757298_1	Maas_25
166800	8836	100	outside	58383918	3792430	1_4_1434	3792430_1	LoeNe_04
212344	9536	100	intersecting or downstream	3799218	3799218	1_4_317	3799218_1	Berwijn_05
206740	8634	31	outside	43678838	3832950	1_4_1224	3832950_1	SchNe_11
167912	11440	49	intersecting or downstream	3864710	3864710	NA	NA	NA
5592	113	100	outside	3868638	3868638	NA	NA	NA
39365	9501	100	intersecting or downstream	5983730	3886578	1_4_259	3886578_1	Maas_26
218771	9574	100	intersecting or downstream	66817458	3902898	1_4_20	3902898_1	NA
252508	8506	27	outside	54262262	3930614	1_4_1636	3930614_1	MolNe_01
5607	113	17	intersecting or downstream	10457054	3968990	1_7_28258	3968990_1	AntGr_04
238737	9512	100	outside	4055250	4055250	1_4_63	4055250_1	Dommel_14
238592	9512	100	intersecting or downstream	4092178	4092178	NA	NA	NA
224951	8501	53	intersecting or downstream	40810358	4110198	1_4_1556	4110198_1	GroNe_08
39498	9501	100	intersecting or downstream	67032306	4117746	1_4_1800	4117746_1	NA
123786	8504	100	intersecting or downstream	20923350	4146134	1_7_11707	4146134_1	DeAa_02
218797	9574	100	intersecting or downstream	37707186	4152754	1_4_1037	4152754_2	Voer_07
259125	8710	94	intersecting or downstream	12582134	4193526	1_4_838	4193526_2	DesNe_05
259126	8710	100	intersecting or downstream	4193526	4193526	NA	NA	NA
224921	8501	100	intersecting or downstream	4204406	4204406	1_7_31111	4204406_1	GroNe_14
209488	8038	100	outside	4206034	4206034	NA	NA	NA
252561	8506	100	outside	16800630	4217718	1_4_717	4217718_1	NA
104298	10047	67	outside	4241758	4241758	NA	NA	NA
250732	7905	56	outside	37801958	4247526	1_7_158455	4247526_1	NA
39198	9501	100	intersecting or downstream	4268114	4268114	1_7_7743	4268114_1	Maas_40
90383	9502	100	intersecting or downstream	33537438	4275614	1_4_1640	4275614_1	NA
39143	9501	100	intersecting or downstream	25820242	4324434	1_7_8851	4324434_1	Maas_41
123492	8502	100	intersecting or downstream	10658774	4367318	1_4_459	4367318_1	NA
226460	9875	100	outside	4377874	4377874	1_4_1081	4377874_1	NA
239841	17602	5	intersecting or downstream	4405142	4405142	1_7_30659	4405142_1	NA
218822	9574	102	outside	56853378	4424578	1_4_22	4424578_1	NA
39225	9501	100	intersecting or downstream	21217362	4440146	1_4_119	4440146_1	NA
40024	9617	35	outside	4478366	4478366	NA	NA	NA
218767	9574	100	intersecting or downstream	63212978	4492722	1_4_16	4492722_1	NA
201260	40512	41	outside	39103702	4500694	1_7_42902	4500694_1	NA
113049	8589	100	outside	55963894	4583670	1_7_215273	4583670_1	NA
46042	8797	100	outside	17173110	4590198	1_7_55004	4590198_1	NA
39094	9501	100	intersecting or downstream	25594962	4623442	1_4_997	4623442_1	NA
39327	9501	100	intersecting or downstream	4646226	4646226	1_4_221	4646226_1	NA
39373	9501	100	intersecting or downstream	29842930	4677106	1_4_267	4677106_1	NA
260213	9890	100	intersecting or downstream	14115986	4678802	1_4_412	4678802_1	NA
90379	9502	100	intersecting or downstream	4767134	4767134	NA	NA	NA
5616	113	100	intersecting or downstream	63492062	4771806	1_7_28147	4771806_1	NA
224930	8501	91	intersecting or downstream	4777846	4777846	NA	NA	NA
45964	8797	100	intersecting or downstream	4834166	4834166	NA	NA	NA
206738	8634	83	outside	4881526	4881526	NA	NA	NA
206719	8634	100	outside	55262326	4930678	1_4_1204	4930678_1	NA
218812	9574	100	intersecting or downstream	38519474	4965042	1_4_950	4965042_1	NA
252510	8506	100	outside	38533622	4979190	1_4_1638	4979190_1	NA
33414	8572	100	intersecting or downstream	5012950	5012950	1_4_1527	5012950_1	NA
90386	9502	100	intersecting or downstream	7421342	5062046	1_4_1643	5062046_1	NA
213781	10004	100	intersecting or downstream	60692562	5118034	1_4_58	5118034_1	NA
260203	9890	77	intersecting or downstream	58089618	5136530	1_7_18789	5136530_1	NA
224809	8501	100	intersecting or downstream	62377462	5230070	1_4_1386	5230070_1	NA
255353	9508	100	intersecting or downstream	55620114	5288466	1_4_432	5288466_1	NA
39487	9501	100	intersecting or downstream	5330162	5330162	NA	NA	NA
123676	8502	22	intersecting or downstream	5457142	5457142	NA	NA	NA
238604	9512	100	intersecting or downstream	65233170	5464338	1_4_908	5464338_1	NA
240902	9662	38	outside	5505106	5505106	NA	NA	NA
39194	9501	100	intersecting or downstream	5578834	5578834	1_7_7747	5578834_1	NA
46037	8797	100	outside	1395318	5589622	1_7_55009	5589622_1	NA
230706	9663	100	outside	5593042	5593042	NA	NA	NA
103408	8552	100	intersecting or downstream	62322486	5699382	1_4_1348	5699382_1	NA
123544	8502	100	intersecting or downstream	5699542	5699542	NA	NA	NA
144626	9702	85	intersecting or downstream	22489298	5712082	1_4_504	5712082_1	NA
238504	9512	100	intersecting or downstream	5788522	5788522	1_4_1096	5788522_1	NA
45970	8797	100	intersecting or downstream	53035894	5849974	1_7_31195	5849974_1	NA
45971	8797	70	intersecting or downstream	5849974	5849974	NA	NA	NA
144615	9702	100	intersecting or downstream	26822418	5850898	1_4_493	5850898_1	NA
218782	9574	33	intersecting or downstream	5852594	5852594	NA	NA	NA
169150	39725	98	outside	5856006	5856006	NA	NA	NA
123466	8502	100	intersecting or downstream	5948374	5948374	1_7_18087	5948374_1	NA
219276	620	100	outside	1757377	5951681	1_4_1367	5951681_1	NA
39416	9501	100	intersecting or downstream	56289778	5958130	1_7_20147	5958130_1	NA
212391	9536	100	intersecting or downstream	54291122	6056626	1_4_364	6056626_1	NA
5576	113	100	outside	61646814	6072286	1_4_1677	6072286_1	NA
45939	8797	51	intersecting or downstream	6104950	6104950	NA	NA	NA
39380	9501	100	intersecting or downstream	6118898	6118898	1_4_274	6118898_1	NA
39082	9501	102	intersecting or downstream	6146530	6146530	NA	NA	NA
33416	8572	100	intersecting or downstream	6258134	6258134	1_4_1529	6258134_1	NA
39221	9501	100	intersecting or downstream	10469458	6275154	1_4_115	6275154_1	NA
241244	9505	61	intersecting or downstream	6348178	6348178	1_7_8891	6348178_1	NA
194177	7441	100	intersecting or downstream	6356406	6356406	1_7_168026	6356406_1	NA
39101	9501	100	intersecting or downstream	6376530	6376530	1_4_990	6376530_1	NA
90108	8728	98	intersecting or downstream	27367982	6396462	1_7_209739	6396462_1	NA
212349	9536	100	intersecting or downstream	48391090	6448050	1_4_322	6448050_1	NA
103399	8552	100	intersecting or downstream	6459190	6459190	NA	NA	NA
39343	9501	100	intersecting or downstream	6544882	6544882	NA	NA	NA
260487	3130	50	intersecting or downstream	6643305	6643305	1_7_113143	6643305_1	NA
144038	8991	100	outside	15344854	6644950	1_7_209217	6644950_1	NA
259144	8710	100	intersecting or downstream	6655222	6655222	NA	NA	NA
238642	9512	100	intersecting or downstream	40262418	6707986	1_4_898	6707986_1	NA
113036	8589	100	outside	58630390	6725878	1_7_45075	6725878_1	NA
39070	9501	100	intersecting or downstream	36129250	6769122	1_7_8903	6769122_1	NA
39126	9501	100	intersecting or downstream	31990178	6824354	1_7_8868	6824354_1	NA
209483	8038	100	outside	34740786	6827474	1_4_1477	6827474_1	NA
144041	8991	91	outside	43082966	6907094	1_7_209214	6907094_1	NA
166826	8836	100	outside	6929966	6929966	1_7_46380	6929966_1	NA
226468	9875	100	outside	5033234	6954258	1_4_886	6954258_1	NA
216086	9522	100	intersecting or downstream	6976338	6976338	1_4_515	6976338_1	NA
90119	8787	100	intersecting or downstream	6996014	6996014	1_7_209697	6996014_1	NA
255360	9508	96	intersecting or downstream	7036434	7036434	1_4_419	7036434_1	NA
123780	8504	100	intersecting or downstream	57394134	7062486	1_7_11713	7062486_1	NA
241376	9505	100	intersecting or downstream	40620178	7065746	1_4_545	7065746_1	NA
144004	8991	100	outside	7115990	7115990	NA	NA	NA
39079	9501	100	intersecting or downstream	45533666	7195106	1_7_8894	7195106_1	NA
259134	8710	100	intersecting or downstream	7208182	7208182	1_4_846	7208182_1	NA
260186	9890	100	intersecting or downstream	61739154	7213202	1_7_18806	7213202_1	NA
213898	10004	19	intersecting or downstream	11414098	7219794	1_4_50	7219794_1	NA
213899	10004	72	intersecting or downstream	7219794	7219794	NA	NA	NA
255433	9508	39	outside	28344338	7241746	1_4_407	7241746_1	NA
39496	9501	100	intersecting or downstream	30528754	7263474	1_4_1802	7263474_1	NA
39267	9501	100	intersecting or downstream	24078674	7301458	1_4_161	7301458_1	NA
255478	9508	100	outside	66040850	7320594	1_4_1231	7320594_1	NA
5577	113	100	outside	7383006	7383006	1_4_1678	7383006_1	NA
176608	2205	100	outside	7393985	7393985	NA	NA	NA
39226	9501	100	intersecting or downstream	41009234	7454802	1_4_120	7454802_1	NA
209481	8038	89	outside	45226546	7477810	1_4_1475	7477810_1	NA
39162	9501	100	intersecting or downstream	7502930	7502930	1_7_7779	7502930_1	NA
200565	17603	49	intersecting or downstream	7550870	7550870	1_4_1692	7550870_1	AntGr_03
206716	8634	100	outside	7552118	7552118	NA	NA	NA
39370	9501	100	intersecting or downstream	10460658	7560690	1_4_264	7560690_1	NA
203457	7621	100	intersecting or downstream	45358246	7609510	1_7_1591	7609510_1	NA
252551	8506	100	outside	24398326	7621110	1_4_707	7621110_1	NA
39289	9501	100	intersecting or downstream	32805202	7639378	1_4_183	7639378_1	NA
218806	9574	100	intersecting or downstream	11247026	7652018	1_4_961	7652018_1	NA
218807	9574	100	intersecting or downstream	7652018	7652018	NA	NA	NA
111579	9670	100	outside	7656862	7656862	NA	NA	NA
224918	8501	100	intersecting or downstream	50669430	7677814	1_7_31113	7677814_1	NA
238736	9512	100	outside	62251218	7725266	1_4_62	7725266_1	NA
230696	9663	100	outside	29751250	7731154	1_4_654	7731154_1	NA
238571	9512	100	intersecting or downstream	41398546	7844114	1_4_1057	7844114_1	NA
166829	8836	100	outside	41401902	7847470	1_4_1453	7847470_1	NA
5611	113	100	intersecting or downstream	65572830	7901150	1_7_28152	7901150_1	NA
176610	2205	80	outside	7918273	7918273	NA	NA	NA
209496	8038	100	outside	10104274	8007122	1_4_1490	8007122_1	NA
144044	8991	96	outside	24732886	8013014	1_7_209211	8013014_1	NA
39417	9501	100	intersecting or downstream	24832498	8055282	1_7_20146	8055282_1	NA
91125	9332	10	intersecting or downstream	8090614	8090614	NA	NA	NA
166759	8836	100	outside	8119542	8119542	1_4_1319	8119542_1	NA
175052	1179	100	intersecting or downstream	3991617	8185921	1_4_1011	8185921_1	NA
230708	9663	100	outside	8214482	8214482	NA	NA	NA
123530	8502	46	intersecting or downstream	34965462	8226774	1_7_28853	8226774_1	NA
221123	9766	100	intersecting or downstream	8239090	8239090	1_7_114566	8239090_1	NA
40016	9617	100	outside	8344990	8344990	NA	NA	NA
35616	9816	9	intersecting or downstream	8372498	8372498	NA	NA	NA
209489	8038	83	outside	8400338	8400338	NA	NA	NA
260295	9890	100	outside	8411154	8411154	NA	NA	NA
206729	8634	100	outside	31521910	8453238	1_4_1214	8453238_1	NA
144055	8991	95	outside	8471766	8471766	1_4_1661	8471766_1	NA
39102	9501	100	intersecting or downstream	8473682	8473682	1_4_989	8473682_1	NA
39335	9501	100	intersecting or downstream	8510962	8510962	1_4_229	8510962_1	NA
123527	8502	100	intersecting or downstream	29525974	8554454	1_4_1621	8554454_1	NA
224810	8501	100	intersecting or downstream	58887670	8556022	1_4_1387	8556022_1	NA
39188	9501	100	intersecting or downstream	8564818	8564818	1_7_7753	8564818_1	NA
39420	9501	100	intersecting or downstream	53717490	8628722	1_7_20143	8628722_1	NA
19763	2628	100	outside	9693633	8645057	1_7_157560	8645057_1	NA
144629	9702	25	intersecting or downstream	8661202	8661202	NA	NA	NA
39348	9501	100	intersecting or downstream	7810546	8859122	1_4_242	8859122_1	NA
99528	8570	100	outside	29872246	8900726	1_4_673	8900726_1	NA
39474	9501	100	intersecting or downstream	8911346	8911346	NA	NA	NA
259152	8710	68	intersecting or downstream	18451702	9014518	1_4_1454	9014518_1	NA
166823	8836	100	outside	9027118	9027118	NA	NA	NA
39127	9501	100	intersecting or downstream	59253154	9036194	1_7_8867	9036194_1	NA
144046	8991	100	outside	14107862	9061590	1_7_209209	9061590_1	NA
255410	9508	100	intersecting or downstream	64155154	9104914	1_7_3420	9104914_1	NA
255411	9508	100	intersecting or downstream	9104914	9104914	NA	NA	NA
255361	9508	100	intersecting or downstream	9133586	9133586	1_4_420	9133586_1	NA
39283	9501	100	intersecting or downstream	60549458	9146706	1_4_177	9146706_1	NA
241541	9505	59	intersecting or downstream	9177106	9177106	1_7_14506	9177106_1	NA
144005	8991	100	outside	9213142	9213142	NA	NA	NA
56559	9800	100	intersecting or downstream	34413554	9247730	1_7_119645	9247730_1	NA
123784	8504	100	intersecting or downstream	9257942	9257942	1_7_11709	9257942_1	NA
143394	8508	100	outside	9307382	9307382	NA	NA	NA
238528	9512	100	intersecting or downstream	59738386	9406738	1_7_20571	9406738_1	NA
19759	2628	67	outside	42985921	9431489	1_7_83901	9431489_1	NA
206663	8634	100	outside	9493366	9493366	NA	NA	NA
39085	9501	100	intersecting or downstream	55631250	9493906	1_7_11430	9493906_1	NA
209502	8038	100	outside	54619602	9530834	1_4_1496	9530834_1	NA
90109	8728	36	intersecting or downstream	26319406	9542190	1_7_209738	9542190_1	NA
212374	9536	100	intersecting or downstream	38942130	9582002	1_4_347	9582002_1	NA
213810	10004	81	intersecting or downstream	36586322	9585490	1_4_52	9585490_1	NA
218758	9574	100	intersecting or downstream	9594290	9594290	1_4_6	9594290_1	NA
206671	8634	100	outside	9595766	9595766	1_7_34554	9595766_1	NA
226465	9875	100	outside	62377234	9686290	1_4_1086	9686290_1	NA
143993	8991	87	outside	9720022	9720022	NA	NA	NA
39290	9501	100	intersecting or downstream	60068178	9736530	1_4_184	9736530_1	NA
218760	9574	100	intersecting or downstream	9774514	9774514	1_4_8	9774514_1	NA
209491	8038	70	outside	26553810	9776594	1_4_1485	9776594_1	NA
47171	9775	99	intersecting or downstream	62215250	9786450	1_7_123118	9786450_1	NA
238584	9512	100	intersecting or downstream	1405202	9793810	1_7_3796	9793810_1	NA
39254	9501	100	intersecting or downstream	31865170	9845074	1_4_148	9845074_1	NA
218789	9574	100	intersecting or downstream	30821810	9850290	1_4_571	9850290_1	NA
123506	8502	55	intersecting or downstream	21390294	9855958	1_7_28750	9855958_1	NA
5553	113	100	outside	26951613	9912253	1_4_1135	9912253_1	NA
233093	28214	9	intersecting or downstream	10046898	10046898	1_4_575	10046898_1	NA
259171	8710	100	intersecting or downstream	43645046	10090614	1_7_37741	10090614_1	NA
123467	8502	100	intersecting or downstream	60474326	10142678	1_7_18086	10142678_1	NA
123689	8502	100	intersecting or downstream	43709686	10155254	1_4_313	10155254_1	NA
144624	9702	100	intersecting or downstream	11217106	10168530	1_4_502	10168530_1	NA
5552	113	100	outside	54214589	10174397	1_4_1134	10174397_1	NA
209466	8038	86	outside	64780850	10254898	1_4_1507	10254898_1	NA
221118	9766	100	intersecting or downstream	10270706	10270706	1_7_114571	10270706_1	NA
218777	9574	66	intersecting or downstream	6114738	10309042	1_4_1019	10309042_1	NA
39045	9501	100	intersecting or downstream	47213026	10316258	1_4_982	10316258_1	NA
103415	8552	71	outside	35518262	10352438	1_7_32020	10352438_1	NA
238744	9512	100	outside	10420434	10420434	1_4_70	10420434_1	NA
238512	9512	100	intersecting or downstream	27216146	10438930	1_4_1104	10438930_1	NA
39200	9501	100	intersecting or downstream	10494034	10494034	1_7_7741	10494034_1	NA
255475	9508	100	outside	38810642	10499090	1_4_1228	10499090_1	NA
238612	9512	100	intersecting or downstream	61939986	10559762	1_4_916	10559762_1	NA
238518	9512	100	intersecting or downstream	58345746	10635538	1_4_1109	10635538_1	NA
80913	9102	100	outside	59453654	10694870	1_4_1426	10694870_1	NA
39276	9501	100	intersecting or downstream	24389970	10758482	1_4_170	10758482_1	NA
206680	8634	74	outside	20212598	10775414	1_4_1165	10775414_1	NA
206681	8634	100	outside	10775414	10775414	NA	NA	NA
38429	9064	96	outside	10788086	10788086	1_4_658	10788086_1	NA
230704	9663	100	outside	47994834	10835922	1_4_642	10835922_1	NA
238259	5000	84	intersecting or downstream	39166105	10854553	1_7_29232	10854553_1	NA
124212	8953	100	intersecting or downstream	10884982	10884982	NA	NA	NA
39120	9501	100	intersecting or downstream	24773026	10887586	1_7_8874	10887586_1	NA
39307	9501	100	intersecting or downstream	48685394	10936658	1_4_201	10936658_1	NA
39347	9501	100	intersecting or downstream	10956274	10956274	1_4_241	10956274_1	NA
218815	9574	100	intersecting or downstream	2605746	10994354	1_4_953	10994354_1	NA
249715	9048	100	outside	32843382	11085430	1_4_882	11085430_1	BriLo_06
39352	9501	100	intersecting or downstream	3878386	11087346	1_4_246	11087346_1	NA
233091	28214	100	intersecting or downstream	11095474	11095474	1_4_1021	11095474_1	NA
219275	620	100	outside	18010305	11194561	1_4_1366	11194561_1	NA
98821	8576	100	outside	524958	11272862	1_4_1126	11272862_1	NA
70408	41660	4	outside	11284014	11284014	1_7_192793	11284014_1	NA
103400	8552	100	intersecting or downstream	11339574	11339574	NA	NA	NA
39261	9501	100	intersecting or downstream	28141906	11364690	1_4_155	11364690_1	NA
39158	9501	100	intersecting or downstream	11369554	11369554	NA	NA	NA
196333	7979	37	intersecting or downstream	11406774	11406774	1_7_23507	11406774_1	NA
238758	9512	100	outside	61751506	11419858	1_4_84	11419858_1	NA
46048	8797	100	outside	32705142	11471478	1_7_54998	11471478_1	NA
123648	8502	49	intersecting or downstream	7288822	11483126	1_4_1714	11483126_1	NA
255479	9508	100	outside	11514898	11514898	NA	NA	NA
226449	9875	100	outside	15731986	11537682	1_4_1070	11537682_1	NA
5617	113	51	intersecting or downstream	11587550	11587550	NA	NA	NA
