al_geselecteerd;volgorde;sampling_unit_code;point_code;field_code;grts_ranking;grts_ranking_draw;sac_streams;type_meetpunt;prop_3260;datum_opname_cyclus1;x;y
TRUE;1;1_7_20153;69106_1;Maas_29;21040626;69106;intersecting or downstream;Bestaand meetpunt;100;2020-08-19;246631,5000000000;181898,760000000
TRUE;2;1_7_7733;426066_1;Maas_30;426066;426066;intersecting or downstream;Bestaand meetpunt;100;2020-08-20;249112,6200000000;195569,250000000
FALSE;3;2023_39077;707042_1;NA;707042;707042;intersecting or downstream;Nieuw meetpunt;100;NA;251726,7902656541;202903,134418656
FALSE;4;2023_238538;784658_1;Dommel_04;61602066;784658;intersecting or downstream;Meetpunt gh ouder dan 6 jaar;100;2015-06-25;223125,1443551916;216287,619419915
FALSE;5;2023_218778;871858_1;NA;871858;871858;intersecting or downstream;Nieuw meetpunt;34;NA;248482,7683817031;161799,050280462
FALSE;6;2023_213783;923730_1;NA;923730;923730;intersecting or downstream;Nieuw meetpunt;100;NA;245036,0796312619;198473,474046059
TRUE;7;1_7_8855;1237410_1;Maas_33;53666210;1237410;intersecting or downstream;Bestaand meetpunt;100;2020-08-20;251440,5400000000;199236,090000000
FALSE;8;2023_197911;1685846_1;NA;1685846;1685846;intersecting or downstream;Nieuw meetpunt;57;NA;184384,7370521381;189776,495186350
FALSE;10;2023_39231;1917010_1;Maas_04;15548498;1917010;intersecting or downstream;Meetpunt gh ouder dan 6 jaar;100;2018-08-08;248241,8383789210;194045,592674231
FALSE;11;2023_39328;2221394_1;Maas_16;46589266;2221394;intersecting or downstream;Meetpunt gh ouder dan 6 jaar;100;2018-08-08;246187,4866765673;186314,834986381
FALSE;12;2023_238623;2992914_1;Dommel_06;57518866;2992914;intersecting or downstream;Meetpunt gh ouder dan 6 jaar;34;2017-07-17;224840,4711116486;209855,878593586
TRUE;13;1_4_1852;3197426_1;Maas_24;38930930;3197426;intersecting or downstream;Bestaand meetpunt;100;2019-08-14;245288,1200000000;178665,020000000
FALSE;14;2023_194175;3210678_1;NA;3210678;3210678;intersecting or downstream;Nieuw meetpunt;100;NA;202607,0552639877;191286,155154906
