al_geselecteerd;volgorde;sampling_unit_code;field_code;grts_ranking_draw;sac_streams;type_meetpunt;prop_3260;datum_opname_cyclus1;x;y
FALSE;19;2023_218822;NA;4424578;outside;Nieuw meetpunt;102;NA;251777,7828598862;160895,821
FALSE;20;2023_40024;NA;4478366;outside;Nieuw meetpunt;35;NA;184668,0761573504;233889,1805
FALSE;21;2023_201260;NA;4500694;outside;Nieuw meetpunt;41;NA;171175,6093622189;218202,2776
FALSE;22;2023_113049;NA;4583670;outside;Nieuw meetpunt;100;NA;196806,1752415506;211282,9077
FALSE;23;2023_46042;NA;4590198;outside;Nieuw meetpunt;100;NA;215726,0091497179;208745,8986
FALSE;24;2023_206738;NA;4881526;outside;Nieuw meetpunt;83;NA;209746,6125170125;211964,7021
FALSE;25;2023_206719;NA;4930678;outside;Nieuw meetpunt;100;NA;208731,8045765860;210854,7835
FALSE;26;2023_252510;NA;4979190;outside;Nieuw meetpunt;100;NA;199083,6946246901;207090,0616
FALSE;27;2023_240902;NA;5505106;outside;Nieuw meetpunt;38;NA;247938,7976532531;195191,4281
FALSE;28;2023_46037;NA;5589622;outside;Nieuw meetpunt;100;NA;215232,2228337059;208667,9869
FALSE;29;2023_230706;NA;5593042;outside;Nieuw meetpunt;100;NA;227436,0655080393;199478,0621
FALSE;30;2023_169150;NA;5856006;outside;Nieuw meetpunt;98;NA;160986,0744000003;157472,1474
FALSE;31;2023_219276;NA;5951681;outside;Nieuw meetpunt;100;NA;86676,00774;208059,6103
FALSE;32;2023_5576;NA;6072286;outside;Nieuw meetpunt;100;NA;155019,0259925759;226030,8168
FALSE;33;2023_144038;NA;6644950;outside;Nieuw meetpunt;100;NA;176639,2116636247;212093,9701
FALSE;34;2023_113036;NA;6725878;outside;Nieuw meetpunt;100;NA;195847,2569769901;210770,1889
FALSE;35;2023_209483;NA;6827474;outside;Nieuw meetpunt;100;NA;228977,0687320131;185804,449
FALSE;36;2023_144041;NA;6907094;outside;Nieuw meetpunt;91;NA;176872,8267469716;212242,6967
FALSE;37;2023_166826;NA;6929966;outside;Nieuw meetpunt;100;NA;201956,3579481544;221057,5309
FALSE;38;2023_226468;NA;6954258;outside;Nieuw meetpunt;100;NA;220697,1212449948;210904,5954
FALSE;39;2023_144004;NA;7115990;outside;Nieuw meetpunt;100;NA;174409,6734651331;211353,3787
FALSE;40;2023_255433;NA;7241746;outside;Nieuw meetpunt;39;NA;229128,7711263149;208882,5373
