al_geselecteerd;volgorde;sampling_unit_code;field_code;grts_ranking_draw;sac_streams;type_meetpunt;prop_3260;datum_opname_cyclus1;x;y
TRUE;1;1_7_20153;Maas_29;69106;intersecting or downstream;Bestaand meetpunt;100;19/08/2020;246631,5000000000;181898,76
TRUE;2;1_7_7733;Maas_30;426066;intersecting or downstream;Bestaand meetpunt;100;20/08/2020;249112,6200000000;195569,25
FALSE;3;2023_238538;Dommel_04;784658;intersecting or downstream;Meetpunt gh ouder dan 6 jaar;100;25/06/2015;223125,1443551916;216287,6194
FALSE;4;2023_218778;NA;871858;intersecting or downstream;Nieuw meetpunt;34;NA;248482,7683817031;161799,0503
FALSE;5;2023_98889;NA;1047854;intersecting or downstream;Nieuw meetpunt;84;NA;186948,0967999995;232234,0438
TRUE;6;1_7_8855;Maas_33;1237410;intersecting or downstream;Bestaand meetpunt;100;20/08/2020;251440,5400000000;199236,09
FALSE;7;2023_197911;NA;1685846;intersecting or downstream;Nieuw meetpunt;57;NA;184384,7370521381;189776,4952
FALSE;8;2023_39231;Maas_04;1917010;intersecting or downstream;Meetpunt gh ouder dan 6 jaar;100;8/08/2018;248241,8383789210;194045,5927
FALSE;9;2023_194186;NA;2031030;intersecting or downstream;Nieuw meetpunt;100;NA;203166,1582962280;191919,9297
FALSE;10;2023_238545;NA;2160914;intersecting or downstream;Nieuw meetpunt;100;NA;223373,9515927573;215697,9366
FALSE;11;2023_39328;Maas_16;2221394;intersecting or downstream;Meetpunt gh ouder dan 6 jaar;100;8/08/2018;246187,4866765673;186314,835
FALSE;12;2023_224825;GroNe_09;2465270;intersecting or downstream;Meetpunt gh ouder dan 6 jaar;67;2/06/2017;200514,9027525789;203141,3256
FALSE;13;2023_238623;Dommel_06;2992914;intersecting or downstream;Meetpunt gh ouder dan 6 jaar;34;17/07/2017;224840,4711116486;209855,8786
FALSE;14;2023_39057;NA;3115490;intersecting or downstream;Nieuw meetpunt;100;NA;253224,4752390779;203866,5967
TRUE;15;1_4_1852;Maas_24;3197426;intersecting or downstream;Bestaand meetpunt;100;14/08/2019;245288,1200000000;178665,02
FALSE;16;2023_194175;NA;3210678;intersecting or downstream;Nieuw meetpunt;100;NA;202607,0552639877;191286,1552
TRUE;17;1_7_20152;Maas_36;3214834;intersecting or downstream;Bestaand meetpunt;100;19/08/2020;246593,6800000000;181806,04
FALSE;18;2023_255407;NA;3337746;intersecting or downstream;Nieuw meetpunt;100;NA;228660,0135296828;210905,1384
FALSE;19;2023_259138;NA;3378422;intersecting or downstream;Nieuw meetpunt;100;NA;200363,9941596118;215751,8075
TRUE;20;1_7_20150;Maas_38;3598834;intersecting or downstream;Bestaand meetpunt;100;19/08/2020;246529,9600000000;181616,26
FALSE;21;2023_167912;NA;3864710;intersecting or downstream;Nieuw meetpunt;49;NA;185085,0790293474;180627,5551
FALSE;22;2023_238592;NA;4092178;intersecting or downstream;Nieuw meetpunt;100;NA;224606,8505738775;212588,2521
FALSE;23;2023_259126;NA;4193526;intersecting or downstream;Nieuw meetpunt;100;NA;199555,2551339989;215639,0964
TRUE;24;1_7_7743;Maas_40;4268114;intersecting or downstream;Bestaand meetpunt;100;20/08/2020;250024,6800000000;195291
TRUE;25;1_7_8851;Maas_41;4324434;intersecting or downstream;Bestaand meetpunt;100;20/08/2020;251076,1400000000;199397,28
FALSE;26;2023_39225;NA;4440146;intersecting or downstream;Nieuw meetpunt;100;NA;248386,2359005341;194624,0482
FALSE;27;2023_218767;NA;4492722;intersecting or downstream;Nieuw meetpunt;100;NA;247463,2307473385;162068,4355
FALSE;28;2023_39094;NA;4623442;intersecting or downstream;Nieuw meetpunt;100;NA;250811,5028129468;201503,0294
FALSE;29;2023_39327;NA;4646226;intersecting or downstream;Nieuw meetpunt;100;NA;246276,1144778115;186359,9027
FALSE;30;2023_39373;NA;4677106;intersecting or downstream;Nieuw meetpunt;100;NA;246461,2895931204;184204,1594
FALSE;31;2023_260213;NA;4678802;intersecting or downstream;Nieuw meetpunt;100;NA;240024,1272502776;206269,2944
FALSE;32;2023_90379;NA;4767134;intersecting or downstream;Nieuw meetpunt;100;NA;179053,8652434974;232075,6367
FALSE;33;2023_5616;NA;4771806;intersecting or downstream;Nieuw meetpunt;100;NA;158524,2320738641;224509,8006
FALSE;34;2023_224930;NA;4777846;intersecting or downstream;Nieuw meetpunt;91;NA;207620,1679770209;205725,9848
FALSE;35;2023_45964;NA;4834166;intersecting or downstream;Nieuw meetpunt;100;NA;209088,2515107787;206385,4184
FALSE;36;2023_218812;NA;4965042;intersecting or downstream;Nieuw meetpunt;100;NA;250960,5485468807;161115,4792
FALSE;37;2023_33414;NA;5012950;intersecting or downstream;Nieuw meetpunt;100;NA;182998,0380458760;215877,5264
FALSE;38;2023_90386;NA;5062046;intersecting or downstream;Nieuw meetpunt;100;NA;179451,8470522977;231738,4357
FALSE;39;2023_213781;NA;5118034;intersecting or downstream;Nieuw meetpunt;100;NA;245189,8560090438;198443,5741
FALSE;40;2023_260203;NA;5136530;intersecting or downstream;Nieuw meetpunt;77;NA;240929,0198814454;206525,8082
FALSE;1;2023_5598;NA;526302;outside;Nieuw meetpunt;100;NA;156852,5340582685;224961,5173
FALSE;2;2023_5591;NA;722910;outside;Nieuw meetpunt;100;NA;156260,8469496077;225324,645
FALSE;3;2023_206654;NA;1530742;outside;Nieuw meetpunt;100;NA;203221,5617415654;209363,0469
FALSE;4;2023_255481;NA;1553426;outside;Nieuw meetpunt;35;NA;228507,8254629602;204886,1528
FALSE;5;2023_143992;NA;1593558;outside;Nieuw meetpunt;100;NA;173334,8184927291;211184,041
FALSE;6;2023_206723;NA;2505846;outside;Nieuw meetpunt;100;NA;208783,0456856114;211212,7851
FALSE;7;2023_5561;NA;2516958;outside;Nieuw meetpunt;100;NA;153581,6194522178;226391,9714
TRUE;8;1_4_1139;AntGr_02;3041246;outside;Bestaand meetpunt;100;19/07/2021;153280,7700000000;226346,54
TRUE;9;1_4_24;Voer_09;3048322;outside;Bestaand meetpunt;100;23/07/2021;251834,1500000000;160681,43
TRUE;10;1_4_1179;SchNe_07;3153014;outside;Bestaand meetpunt;100;7/07/2021;206504,2500000000;210593,65
TRUE;11;1_4_1434;LoeNe_04;3792430;outside;Bestaand meetpunt;100;22/07/2021;200186,0900000000;220139,54
FALSE;12;2023_5592;NA;3868638;outside;Nieuw meetpunt;100;NA;156357,4362796287;225298,7687
FALSE;13;1_4_63;Dommel_14;4055250;outside;Bestaand meetpunt;100;26/07/2021;226051,3900000000;200386,41
FALSE;14;2023_209488;NA;4206034;outside;Nieuw meetpunt;100;NA;229171,1470833927;186206,1573
FALSE;15;2023_252561;NA;4217718;outside;Nieuw meetpunt;100;NA;202382,4803883740;208535,2548
FALSE;16;2023_104298;NA;4241758;outside;Nieuw meetpunt;67;NA;175799,9925019062;237042,5983
FALSE;17;2023_250732;NA;4247526;outside;Nieuw meetpunt;56;NA;206862,3607584656;184245,1754
FALSE;18;2023_226460;NA;4377874;outside;Nieuw meetpunt;100;NA;221388,9576638900;211285,5948
