sampling_unit_code;field_code;punt_verplaatst;grts_ranking_draw;sac_streams;type_meetpunt;datum_opname_cyclus1;jaar_cyclus2;x;y
1_4_1852;NA;nee;3197426;intersecting or downstream;Bestaand meetpunt;2019-08-14;2025;245288,1000;178665,0000
1_7_27869;NA;NA;4092754;intersecting or downstream;Nieuw meetpunt;NA;2025;239703,6300;202043,1500
1_7_20153;NA;nee;69106;intersecting or downstream;Bestaand meetpunt;2020-08-19;2026;246631,4953;181898,7648
1_7_7733;NA;nee;426066;intersecting or downstream;Bestaand meetpunt;2020-08-20;2026;249112,6227;195569,2475
1_7_8855;NA;nee;1237410;intersecting or downstream;Bestaand meetpunt;2020-08-20;2026;251440,5356;199236,0893
1_4_1800;NA;NA;4117746;intersecting or downstream;Nieuw meetpunt;NA;2026;242301,7700;175857,3900
1_4_1139;NA;nee;3041246;outside;Bestaand meetpunt;2021-07-19;2027;153280,7700;226346,5400
1_4_24;NA;nee;3048322;outside;Bestaand meetpunt;2021-07-23;2027;251834,1500;160681,4300
1_4_1179;NA;nee;3153014;outside;Bestaand meetpunt;2021-07-07;2027;206504,2500;210593,6500
1_7_20152;NA;nee;3214834;intersecting or downstream;Bestaand meetpunt;2020-08-19;2027;246593,6833;181806,0394
1_7_20150;NA;nee;3598834;intersecting or downstream;Bestaand meetpunt;2020-08-19;2027;246529,9604;181616,2587
1_4_1434;NA;nee;3792430;outside;Bestaand meetpunt;2021-07-22;2027;200186,0900;220139,5400
1_7_7743;NA;nee;4268114;intersecting or downstream;Bestaand meetpunt;2020-08-20;2027;250024,6846;195291,0012
1_7_8851;NA;nee;4324434;intersecting or downstream;Bestaand meetpunt;2020-08-20;2027;251076,1373;199397,2772
1_7_30659;NA;NA;4405142;intersecting or downstream;Nieuw meetpunt;NA;2027;167040,3200;212997,4200
