segment_id	river_name	wl_code	grts_ranking	x	y
1	NOORBEEK	L208_820	31006130	250057.605899997	162492.418000001
2	VOER	L107_891	29855154	248186.118900001	161881.8455
3	VOER	L107_891	43486642	248293.468173774	161892.563879675
4	ABEEK	VL11_133	36387986	235535.655900002	206781.668000001
5	ABEEK	VL11_133	19332242	236147.796899997	207486.136999998
6	VOER	L107_891	9594290	246811.155900002	162290.59
7	VOER	L107_891	51717554	246834.290686559	162206.845259361
8	VOER	L107_891	9774514	246885.193251655	162156.625278243
9	VOER	L107_891	3483058	246975.485841243	162158.350758206
10	VOER	L107_891	29173170	247060.404271609	162143.508083273
11	VOER	L107_891	20784562	247155.712830515	162161.068170477
12	VOER	L107_891	52241842	247246.247134876	162144.669397362
13	VOER	L107_891	60067250	247336.414645129	162172.189276446
14	VOER	L107_891	40144306	247383.306552491	162100.699554702
15	VOER	L107_891	63212978	247462.806338467	162068.322630655
16	VOER	L107_891	4492722	247555.007837127	162044.035242718
17	VOER	L107_891	64785842	247641.145590585	161998.155857102
18	VOER	L107_891	44862898	247736.336846686	161969.667986059
19	VOER	L107_891	66817458	247833.619821595	161949.199660773
20	VOER	L107_891	3902898	247930.949728246	161929.585125102
21	VOER	L107_891	65768882	248029.463200807	161916.835763275
22	VOER	L208_820	4424578	251794.780199997	160861.484000001
23	VOER	L208_820	33784706	251839.219867019	160779.820894635
24	VOER	L208_820	3048322	251834.149274777	160681.428074532
25	VOER	L208_820	15631234	251896.557336837	160616.745374111
26	VOER	L208_820	21857154	251973.396021749	160552.552873513
27	VOER	L208_820	33129346	252015.048153804	160463.794882094
28	VOER	L208_820	45712258	252027.021206402	160366.388317552
29	VOER	L208_820	44663682	252063.814983867	160280.606714812
30	VOER	L208_820	63046530	252071.784700272	160198.246239965
31	VOER	L208_820	131970	252091.152004789	160123.85765789
32	VOER	L208_820	26346370	252130.484371791	160063.593187033
33	VOER	L208_820	17433474	252212.983655	160026.893354549
34	VOER	L208_820	25822082	252254.277748735	159967.059906031
35	VOER	L208_820	59638658	252277.868574732	159880.080257838
36	VOER	L208_820	50201474	252363.032142171	159854.937644732
37	VOER	L208_820	18744194	252415.541444556	159773.690259441
38	DALEMANSLOOP	L208_620	23146742	197367.455399998	211500.692899998
39	DALEMANSLOOP	L208_620	34418934	197467.845127931	211500.247949985
40	DALEMANSLOOP	L208_620	53293302	197561.739062088	211484.18578324
41	DALEMANSLOOP	L208_620	36090102	197626.436310157	211407.397671666
42	DALEMANSLOOP	L208_620	18591990	197715.452636517	211368.262909788
43	ABEEK	VL11_133	32439442	236377.210900001	207746.223999999
44	ABEEK	VL11_133	2608274	238208.4749	208398.335000001
45	OUDE LOSSING	L208_825	37703826	243146.873899996	207942.433499999
46	OUDE LOSSING	L208_825	66015378	243132.473640269	208025.313783358
47	ABEEK	VL11_133	4325778	245198.855899997	206415.4505
48	VENLOOP	L208_623	16680086	169352.7029	209314.881499998
49	VENLOOP	L208_623	9455318	169633.616899997	209293.465500001
50	BOSBEEK	VL05_135	7219794	238018.201399997	193834.710499998
51	BOSBEEK	VL05_135	30648146	241467.438900001	197098.467
52	BOSBEEK	VL05_135	9585490	242942.6404	198219.982000001
53	BOSBEEK	VL05_135	49169234	242982.70259735	198123.67653856
54	BOSBEEK	VL05_135	17835858	243022.190784445	198027.133331609
55	BOSBEEK	VL05_135	2369362	242952.863360173	197998.695669782
56	BOSBEEK	VL05_135	18270290	245290.558899999	198520.818500001
57	BOSBEEK	VL05_135	48109650	245223.01774713	198455.018359357
58	BOSBEEK	VL05_135	5118034	245125.301242781	198449.10642213
59	BOSBEEK	VL05_135	17700946	245054.32788357	198479.920076543
60	BOSBEEK	VL05_135	55187538	244997.155018527	198411.745930527
61	DOMMEL	L208_830	37085394	226183.459299996	200533.7031
62	DOMMEL	L208_830	7725266	226107.370782553	200468.809304105
63	DOMMEL	L208_830	4055250	226051.391384308	200386.407400861
64	DOMMEL	L208_830	25026770	226011.527982275	200294.678210322
65	DOMMEL	L208_830	38658258	225973.146117704	200202.250694157
66	DOMMEL	L208_830	29278418	225934.697635806	200109.847207283
67	DOMMEL	L208_830	34521298	225896.063715763	200017.563619904
68	DOMMEL	L208_830	47104210	225843.334473693	199932.652608279
69	DOMMEL	L208_830	45023442	225791.056637495	199847.460517955
70	DOMMEL	L208_830	10420434	225755.064139814	199754.471238511
71	DOMMEL	L208_830	48169170	225739.965698446	199655.57163931
72	DOMMEL	L208_830	54132946	225727.619225581	199556.274349881
73	DOMMEL	L208_830	1704146	225718.560459905	199456.818670828
74	DOMMEL	L208_830	39977170	225723.192012025	199356.851962929
75	DOMMEL	L208_830	21102802	225727.675783282	199256.876909627
76	DOMMEL	L208_830	58851538	225709.715099501	199159.713646792
77	DOMMEL	L208_830	47005906	225664.252637217	199070.561657991
78	DOMMEL	L208_830	31277266	225619.725659628	198981.01679582
79	DOMMEL	L208_830	43860178	225612.496220734	198883.051779326
80	DOMMEL	L208_830	58015954	225614.104436169	198783.801433978
81	DOMMEL	L208_830	19218642	225616.069362946	198684.12619458
82	DOMMEL	L208_830	35537106	225635.552039918	198585.968559356
83	DOMMEL	L208_830	49168594	225635.106295447	198486.361944168
84	DOMMEL	L208_830	11419858	225621.594229224	198387.195300184
85	DOMMEL	L208_830	58343634	225609.711111958	198287.828627711
86	DOMMEL	L208_830	46809298	225594.299220725	198188.994655754
87	DOMMEL	L208_830	49380562	225584.943938342	198089.505174754
88	DOMMEL	L208_830	45186258	225591.230366249	197989.792676166
89	DOMMEL	L208_830	21069010	225613.826931148	197892.373314421
90	DOMMEL	L208_830	53837010	225638.321845977	197795.33452919
91	DOMMEL	VL05_136	38953234	224741.208400004	212309.919500001
