sample_id	segment_id	type	river_name	sac	catchment_area	wl_code	grts_ranking	sample	x	y
407506_3260	943	35	GIELISBEEK	1	1	L208_824	407506	1	228327.831077752	200816.653177754
728498_3260	1017	35	NOORBEEK	1	1	L208_820	728498	1	249817.214270265	162401.202947652
1047854_3260	1088	35	GELSLOOPKE	1	1	L208_644	1047854	1	186945.470399998	232226.794500001
1150886_3260	1690	35	NA	1	1	L208_416	1150886	1	186150.672700003	180314.791999999
1391710_3260	814	35	GOUWBERGSE LOOP	1	1	L208_648	1391710	1	180437.017098015	243133.295458242
2357110_3260	872	35	BRISDILLOOP	1	1	L208_639	2357110	1	210232.592169796	204881.556926298
2485086_3260	806	35	GOUWBERGSE LOOP	1	1	L208_648	2485086	1	179905.61853207	243386.622934766
2701266_3260	942	35	GIELISBEEK	1	1	L208_824	2701266	1	228390.094400004	200878.9375
3144798_3260	822	35	GOUWBERGSE LOOP	1	1	L208_648	3144798	1	181018.164634316	242889.42726755
3286646_3260	876	35	BRISDILLOOP	1	1	L208_639	3286646	1	210610.58658037	204817.226188493
3469714_3260	386	35	RENNE	1	1	L208_825	3469714	1	247048.190093641	207107.999379857
4172754_3260	862	35	ABEEK	1	1	L208_824	4172754	1	230652.936599024	195763.703230764
4256146_3260	385	35	RENNE	1	1	L208_825	4256146	1	247121.367412513	207166.992773579
5042578_3260	388	35	RENNE	1	1	L208_825	5042578	1	246966.275230938	206935.478667582
6675294_3260	802	35	GOUWBERGSE LOOP	1	1	L208_648	6675294	1	179582.162880886	243446.786984493
6762706_3260	1241	35	BOLLISENBEEK	1	1	L208_830	6762706	1	222900.78235406	199043.45021448
7401874_3260	383	35	RENNE	1	1	L208_825	7401874	1	247300.249245339	207244.42865272
7550870_3260	1692	35	ANTITANKKANAAL	1	1	L208_603	7550870	1	167003.1074	213204.267000001
8185921_3260	1011	35	BORNEBEEK	1	1	L208_221	8185921	1	74428.0902291566	200450.440675824
8319378_3260	395	35	RENNE	1	1	L208_825	8319378	1	246562.894192688	206416.022142622
8417234_3260	368	35	ABEEK	1	1	L208_824	8417234	0	230959.350900002	196931.728
8469598_3260	815	35	GOUWBERGSE LOOP	1	1	L208_648	8469598	0	180499.46524229	243103.044195346
8976594_3260	1459	35	ZWARTEBEEK	1	1	L208_818	8976594	0	219906.516400002	198739.059
9302418_3260	390	35	RENNE	1	1	L208_825	9302418	0	246848.549961899	206803.70813772
9436254_3260	824	35	GOUWBERGSE LOOP	1	1	L208_648	9436254	0	181146.885145617	242741.954536322
9844690_3260	945	35	GIELISBEEK	1	1	L208_824	9844690	0	228204.407054972	200694.224608002
