segment_id	grts_ranking	sac_streams	x	y
1_4_10	29173170	intersecting or downstream	247060.404271609	162143.508083273
1_4_100	45218066	intersecting or downstream	223225.549828549	215942.122896398
1_4_1000	23039058	intersecting or downstream	250893.517240215	201791.281375164
1_4_1001	48860242	intersecting or downstream	250927.988255789	201886.467703421
1_4_1002	31558738	intersecting or downstream	250975.917627275	201975.570081641
1_4_1003	39517622	intersecting or downstream	203019.639700003	191797.6127
1_4_1005	35301441	intersecting or downstream	74119.0582320136	200823.024430594
1_4_1006	55224385	intersecting or downstream	74161.3433563312	200762.170140844
1_4_1007	30058561	intersecting or downstream	74236.191330566	200745.004783622
1_4_1008	16967745	intersecting or downstream	74266.9405499504	200677.334655474
1_4_1009	55371841	intersecting or downstream	74288.48463287	200585.981088474
1_4_101	60553490	intersecting or downstream	223100.815899998	216427.340999998
1_4_1010	40691777	intersecting or downstream	74360.7646153335	200520.285282248
1_4_1011	8185921	intersecting or downstream	74428.0902291566	200450.440675824
1_4_1012	33876033	intersecting or downstream	74507.1229428878	200393.417577986
1_4_1013	24700993	intersecting or downstream	74579.7823954922	200346.780381368
1_4_1014	65595457	intersecting or downstream	74653.6089176315	200328.42122035
1_4_1015	50915393	intersecting or downstream	74713.4746367551	200255.830293965
1_4_1019	10309042	intersecting or downstream	248428.623899996	161826.7755
1_4_102	784658	intersecting or downstream	223114.676735562	216335.942685091
1_4_1020	17649074	intersecting or downstream	248514.631495021	161796.706756787
1_4_1021	11095474	intersecting or downstream	248608.56410944	161776.079575848
1_4_1022	65621426	intersecting or downstream	248705.818152502	161780.785115543
1_4_1023	10046898	intersecting or downstream	248803.328292964	161791.089128853
1_4_1024	66997682	intersecting or downstream	248900.549737715	161803.573253445
1_4_1025	26103218	intersecting or downstream	248979.503778838	161861.292153777
1_4_1026	53366194	intersecting or downstream	249056.748093362	161915.143264579
1_4_1027	59133362	intersecting or downstream	249106.938208327	161942.862416649
1_4_1028	33967538	intersecting or downstream	249198.763468571	161927.268238449
1_4_1029	45501874	intersecting or downstream	249255.297344439	161902.832841826
1_4_103	39844114	intersecting or downstream	223127.943217522	216245.22356082
1_4_1030	35016114	intersecting or downstream	249292.004735038	161819.739899739
1_4_1031	60181938	intersecting or downstream	249336.336971805	161763.464463365
1_4_1032	19619250	intersecting or downstream	249417.052833571	161722.036546003
1_4_1033	29056434	intersecting or downstream	249504.653708107	161688.507047586
1_4_1034	37445042	intersecting or downstream	249593.933145962	161694.159412297
1_4_1035	39804338	intersecting or downstream	249682.344039402	161674.386184449
1_4_1036	62873010	intersecting or downstream	249746.264849757	161627.76275668
1_4_1037	4152754	intersecting or downstream	249770.348962801	161555.698836149
1_4_1038	33512882	intersecting or downstream	249826.539281471	161503.594746166
1_4_1039	30694834	intersecting or downstream	249890.688526057	161439.236148417
1_4_104	66058514	intersecting or downstream	223140.851241822	216153.769713341
1_4_1040	22306226	intersecting or downstream	249986.526065968	161421.90628593
1_4_1041	3431858	intersecting or downstream	250076.544781514	161383.861617944
1_4_1042	33054130	intersecting or downstream	250153.571780503	161340.417908274
1_4_1043	54025650	intersecting or downstream	250250.970441324	161334.715783043
1_4_1046	32559037	outside	151594.985399999	223364.535999998
1_4_1047	1729430	outside	164179.108400002	217157.396000002
1_4_1054	3240210	intersecting or downstream	224535.301344983	213300.705554041
1_4_1055	49377554	intersecting or downstream	224585.573374935	213215.986661209
1_4_1056	44560658	intersecting or downstream	223711.931900002	213527.714000002
1_4_1057	7844114	intersecting or downstream	223794.50175254	213514.270538509
1_4_1063	27200786	outside	222582.545452099	212345.760011576
1_4_1064	49220882	outside	222509.718390367	212311.801209825
1_4_1065	62590226	outside	222412.190013404	212298.626725617
1_4_1066	47910162	outside	222339.358057048	212229.625829591
1_4_1067	12782866	outside	222301.000199346	212141.865338243
1_4_1068	38997266	outside	222289.502858748	212043.225238677
1_4_1069	30608658	outside	222273.713073636	211945.089402612
1_4_1070	11537682	outside	222226.77012277	211857.341166078
1_4_1071	28642578	outside	222167.791871251	211776.120752332
1_4_1072	24448274	outside	222114.074637464	211691.67356203
1_4_1073	45944082	outside	222086.537614913	211595.369956417
1_4_1074	46992658	outside	222016.538148533	211530.910748395
1_4_1075	58789138	outside	221926.027586943	211487.614847591
1_4_1076	66129170	outside	221837.081500953	211441.565646097
1_4_1077	42568978	outside	221740.115664389	211415.697667671
1_4_1080	18271506	outside	221462.257439553	211308.850476651
1_4_1081	4377874	outside	221366.487105217	211278.974272063
1_4_1082	61000978	outside	221282.564015223	211226.991227228
1_4_1083	61852946	outside	221192.599785705	211182.572835999
1_4_1084	39308562	outside	221105.524700992	211133.042258041
1_4_1085	33017106	outside	221022.159768878	211077.18499689
1_4_1086	9686290	outside	220931.927117736	211034.009404679
1_4_1087	55823634	outside	220852.122888964	210973.265410194
1_4_1088	1047854	intersecting or downstream	186945.470399998	232226.794500001
