measurement_date	polygon_id	db_ref	measurement_type	type
15706	WVLBRN0145	WV_BUL_001	2	30
16071	ANTBAL0711	AN_MOS_001	1	NA
16071	ANTBCT0572	AN_KOO_001	1	31
16071	ANTBRM0421	AN_KRA_001	1	NA
16071	ANTBRS0068	AN_E10_001	1	30
16071	ANTBRS0068	AN_E10_001	1	31
16071	ANTBRS0068	AN_E10_001	1	32
16071	ANTBSE0314	AN_BEE_001	1	30
16071	ANTBSE0314	AN_BEE_001	1	31
16071	ANTBSE0334	AN_BLA_001	1	30
16071	ANTBSE0334	AN_BLA_001	1	31
16071	ANTBSE0336	AN_HUF_001	1	31
16071	ANTDES0075	AN_DES_003	1	33
16071	ANTGEE0105	AN_ZEG_001	1	33
16071	ANTHST0458	AN_LAN_002	1	NA
16071	ANTHST0460	AN_LAN_004	1	30
16071	ANTHST0460	AN_LAN_004	2	30
16071	ANTHST0508	AN_LAN_005	1	30
16071	ANTHUL0132	AN_HGA_001	1	30
16071	ANTHUL0132	AN_HGA_001	2	30
16071	ANTHUL0219	AN_HGA_003	1	NA
16071	ANTHUL0219	AN_HGA_003	2	NA
16071	ANTHUL0276	AN_HGA_002	1	NA
16071	ANTHUL0276	AN_HGA_002	2	NA
16071	ANTKAS0302	AN_KAS_001	1	30
16071	ANTKAS0302	AN_KAS_001	2	30
16071	ANTKAS0616	AN_SNE_001	1	34
16071	ANTMAL0136	AN_DVH_001	1	31
16071	ANTMOL0036	AN_MOL_002	1	33
16071	ANTMOL0036	AN_MOL_002	2	33
16071	ANTMOL0088	AN_RPT_002	1	30
16071	ANTMOL0088	AN_RPT_002	1	31
16071	ANTMOL0138	AN_MOL_001	1	31
16071	ANTMOL0138	AN_MOL_001	1	32
16071	ANTMOL0138	AN_MOL_001	1	33
16071	ANTMOL0138	AN_MOL_001	2	31
16071	ANTMOL0138	AN_MOL_001	2	32
16071	ANTMOL0138	AN_MOL_001	2	33
16071	ANTMOL0152	AN_DIE_001	1	30
16071	ANTMOL0152	AN_DIE_001	1	31
16071	ANTMOL0152	AN_DIE_001	1	32
16071	ANTMOL0720	AN_RPT_001	1	30
16071	ANTMOL0720	AN_RPT_001	2	30
16071	ANTOTH0015	AN_TUR_001	1	30
16071	ANTOTH0271	AN_LDL_001	1	34
16071	ANTRAN0277	AN_VRI_001	1	30
16071	ANTRET0186	AN_GOO_002	1	30
16071	ANTRET0186	AN_GOO_002	1	32
16071	ANTRET0199	AN_GOO_001	1	30
16071	ANTRET0199	AN_GOO_001	2	30
16071	ANTRET0236	AN_RET_001	1	32
16071	ANTRIJ0072	AN_DVH_003	1	31
16071	ANTRIJ0308	AN_DVH_002	1	30
16071	ANTRIJ0308	AN_DVH_002	1	31
16071	ANTTUR0065	AN_TVG_003	1	30
16071	ANTTUR0065	AN_TVG_003	1	31
16071	ANTTUR0127	AN_DUI_002	1	NA
16071	ANTTUR0142	AN_DUI_001	1	33
16071	ANTTUR0207	AN_MEL_001	1	30
16071	ANTTUR0207	AN_MEL_001	1	31
16071	ANTTUR0207	AN_MEL_001	1	32
16071	ANTTUR0301	AN_TVG_001	1	30
16071	ANTTUR0304	AN_TVG_002	1	28
16071	ANTTUR0304	AN_TVG_002	1	30
16071	ANTTUR0304	AN_TVG_002	1	31
16071	ANTVOR0058	AN_BLO_001	1	NA
16071	ANTWIL0020	AN_HAZ_001	2	32
16071	LIMDPB0057	LI_LAN_003	1	33
16071	LIMDPB0311	LI_LAN_005	1	31
