sampling_unit_code	polygon_id	type	grts_ranking	grts_ranking_draw	source
WVLKNO0276	WVLKNO0276	21	31259957	169304	original sample frame
WVLDEH0013	WVLDEH0013	21	31560705	171658	original sample frame
WVLKNO0049	WVLKNO0049	21	33078581	183819	original sample frame
WVLDEH0241	WVLDEH0241	21	33395713	186396	original sample frame
WVLMID0123	WVLMID0123	21	33783409	189510	original sample frame
WVLKNO0033	WVLKNO0033	21	34815285	197704	original sample frame
WVLMID0117	WVLMID0117	21	34818673	197729	original sample frame
WVLDEP0111	WVLDEP0111	21	35005617	199251	original sample frame
WVLMID0075	WVLMID0075	21	35480945	203046	original sample frame/assessments monitoring cycle 1
WVLKNO0004	WVLKNO0004	21	35732789	205089	original sample frame
WVLDEP0054	WVLDEP0054	21	36299953	209658	original sample frame
WVLKNO0374	WVLKNO0374	21	36404533	210481	original sample frame
WVLKNO0309	WVLKNO0309	21	36580661	211872	original sample frame
WVLDEP0028	WVLDEP0028	21	36886705	214301	original sample frame
WVLDEP0015	WVLDEP0015	21	37249201	217164	original sample frame
WVLKOK0068	WVLKOK0068	21	37484721	219062	original sample frame
WVLKNO0009	WVLKNO0009	21	37584181	219817	original sample frame
WVLBRU0368	WVLBRU0368	21	37739189	221035	original sample frame/assessments monitoring cycle 1
WVLKNO0056	WVLKNO0056	21	37797173	221479	original sample frame
WVLMID0212	WVLMID0212	21	37923633	222534	original sample frame
WVLKOK0053	WVLKOK0053	21	38072113	223740	original sample frame
WVLKOK0089	WVLKOK0089	21	39796529	237485	original sample frame
WVLKNO0054	WVLKNO0054	21	39943477	238662	original sample frame
WVLMID0205	WVLMID0205	21	64323185	238665	original sample frame
WVLDEP0103	WVLDEP0103	21	40293553	241430	original sample frame
WVLKNO0032	WVLKNO0032	21	40434997	242548	original sample frame
WVLKNO0059	WVLKNO0059	21	40434997	242548	original sample frame
WVLKNO0027	WVLKNO0027	21	40452149	242676	original sample frame
WVLKNO0311	WVLKNO0311	21	40582453	243734	original sample frame
WVLKOK0111	WVLKOK0111	21	40800049	245493	original sample frame
WVLDEP0102	WVLDEP0102	21	42357937	251059	original sample frame
WVLKOK0172	WVLKOK0172	21	41711793	252845	original sample frame
WVLMID0210	WVLMID0210	21	42117937	256032	original sample frame
WVLKNO0292	WVLKNO0292	21	42663221	260381	original sample frame
WVLDEP0019	WVLDEP0019	21	42856625	261828	original sample frame
WVLDEP0042	WVLDEP0042	21	4347057	266761	original sample frame
WVLDEP0060	WVLDEP0060	21	4380849	269360	original sample frame
WVLKOK0124	WVLKOK0124	21	43859761	269819	original sample frame
WVLDEP0049	WVLDEP0049	21	43918513	270255	original sample frame
WVLKNO0171	WVLKNO0171	21	44449845	274576	original sample frame
WVLDEP0121	WVLDEP0121	21	45408433	282117	original sample frame
WVLKNO0045	WVLKNO0045	21	45972789	286579	original sample frame
WVLKNO0066	WVLKNO0066	21	4603189	287045	original sample frame
WVLDEP0101	WVLDEP0101	21	4609201	287514	original sample frame
WVLKNO0264	WVLKNO0264	21	46140981	287910	original sample frame
WVLNWP0043	WVLNWP0043	21	46561073	291229	original sample frame
WVLKNO0041	WVLKNO0041	21	46595381	291495	original sample frame
WVLKNO0012	WVLKNO0012	21	46787893	293017	original sample frame
WVLKNO0277	WVLKNO0277	21	47004981	294720	original sample frame
WVLKNO0278	WVLKNO0278	21	47004981	294720	original sample frame
WVLDEP0062	WVLDEP0062	21	47027377	294864	original sample frame
WVLKOK0019	WVLKOK0019	21	47312689	297109	original sample frame
WVLKNO0014	WVLKNO0014	21	47451701	298167	original sample frame/assessments monitoring cycle 1
WVLDEP0130	WVLDEP0130	21	4761777	299499	original sample frame
WVLKNO0015	WVLKNO0015	21	4767029	299914	original sample frame
WVLKOK0141	WVLKOK0141	21	48115505	303327	original sample frame
WVLNWP0039	WVLNWP0039	21	48133937	303507	original sample frame
WVLDEP0001	WVLDEP0001	21	48292017	304763	original sample frame
WVLKNO0270	WVLKNO0270	21	48315701	304953	original sample frame
WVLKNO0364	WVLKNO0364	21	48463157	306139	original sample frame
WVLDEP0098	WVLDEP0098	21	48484529	306293	original sample frame
WVLKNO0021	WVLKNO0021	21	48856373	309302	original sample frame
WVLKNO0023	WVLKNO0023	21	49491253	314391	original sample frame
WVLDEP0106	WVLDEP0106	21	50156721	319798	original sample frame
WVLKNO0048	WVLKNO0048	21	50298165	320935	original sample frame
WVLDEP0099	WVLDEP0099	21	50319537	321100	original sample frame
WVLDEP0166	WVLDEP0166	21	46573745	322692	original sample frame
WVLKNO0268	WVLKNO0268	21	50543925	322914	original sample frame
WVLDEP0068	WVLDEP0068	21	50746545	324501	original sample frame
WVLDEP0118	WVLDEP0118	21	50913457	325812	original sample frame
WVLMID0209	WVLMID0209	21	51555121	330910	original sample frame
WVLDEP0037	WVLDEP0037	21	51713201	332180	original sample frame
WVLKNO0269	WVLKNO0269	21	52641077	339583	original sample frame
WVLKOK0013	WVLKOK0013	21	53165873	343711	original sample frame
WVLKNO0363	WVLKNO0363	21	54246709	352326	original sample frame
WVLKNO0281	WVLKNO0281	21	54345013	353094	original sample frame
WVLNWP0094	WVLNWP0094	21	54429489	353721	original sample frame
WVLKNO0026	WVLKNO0026	21	54476085	354075	original sample frame
WVLDEP0053	WVLDEP0053	21	54792369	356647	original sample frame
WVLNWP0016	WVLNWP0016	21	54802225	356729	original sample frame
WVLBRU0791	WVLBRU0791	21	55073461	358927	original sample frame
WVLKNO0006	WVLKNO0006	21	55262517	360428	original sample frame
WVLDEP0120	WVLDEP0120	21	5562545	363309	original sample frame
WVLKOK0129	WVLKOK0129	21	56012593	366377	original sample frame
WVLKNO0037	WVLKNO0037	21	56048949	366654	original sample frame
WVLKNO0195	WVLKNO0195	21	56049717	366662	original sample frame
WVLKNO0030	WVLKNO0030	21	56081717	366918	original sample frame
WVLKOK0132	WVLKOK0132	21	11353905	369802	original sample frame
WVLDEH0018	WVLDEH0018	21	56477809	370064	original sample frame
WVLKOK0116	WVLKOK0116	21	56490161	370171	original sample frame
WVLNWP0046	WVLNWP0046	21	56522545	370426	original sample frame
WVLDEP0032	WVLDEP0032	21	57496753	378224	original sample frame
WVLKNO0246	WVLKNO0246	21	57626677	379289	original sample frame
WVLKNO0307	WVLKNO0307	21	58518837	386426	original sample frame
WVLKNO0308	WVLKNO0308	21	8269109	387059	original sample frame
WVLMID0211	WVLMID0211	21	58895153	389408	original sample frame
WVLKNO0310	WVLKNO0310	21	59571509	394770	original sample frame
WVLDEP0014	WVLDEP0014	21	59633841	395278	original sample frame
WVLKNO0034	WVLKNO0034	21	59817269	396656	original sample frame
WVLDEH0025	WVLDEH0025	21	59872257	397073	original sample frame
WVLKNO0126	WVLKNO0126	21	60037173	398366	original sample frame
WVLKOK0029	WVLKOK0029	21	60094641	398827	original sample frame
WVLKNO0055	WVLKNO0055	21	60128565	399121	original sample frame
WVLKOK0063	WVLKOK0063	21	6057777	402715	original sample frame
WVLKOK0014	WVLKOK0014	21	60586161	402780	original sample frame
WVLDEH0029	WVLDEH0029	21	60920833	405484	original sample frame
WVLKNO0018	WVLKNO0018	21	6110517	406923	original sample frame
WVLKNO0279	WVLKNO0279	21	6110517	406923	original sample frame
WVLKNO0008	WVLKNO0008	21	61353269	408855	original sample frame
WVLDEP0096	WVLDEP0096	21	6156465	410504	original sample frame
WVLDEP0036	WVLDEP0036	21	61707441	411676	original sample frame
WVLNWP0041	WVLNWP0041	21	61749041	412000	original sample frame
WVLKOK0007	WVLKOK0007	21	62228657	415784	original sample frame
WVLDEH0031	WVLDEH0031	21	62231553	415804	original sample frame
WVLKNO0182	WVLKNO0182	21	62996533	421913	original sample frame
WVLKNO0001	WVLKNO0001	21	63061301	422440	original sample frame
WVLBRU0795	WVLBRU0795	21	63167157	423303	original sample frame
WVLKNO0285	WVLKNO0285	21	21560629	425930	original sample frame
WVLKNO0043	WVLKNO0043	21	63634741	426980	original sample frame
WVLDEH0339	WVLDEH0339	21	63636917	426995	original sample frame
WVLNWP0029	WVLNWP0029	21	63862577	428720	original sample frame
WVLKNO0273	WVLKNO0273	21	64044341	430139	original sample frame
WVLMID0208	WVLMID0208	21	64138033	430881	original sample frame
WVLKNO0052	WVLKNO0052	21	64175413	431162	original sample frame
WVLKNO0044	WVLKNO0044	21	64224565	431559	original sample frame
WVLKOK0078	WVLKOK0078	21	64253745	431784	original sample frame
WVLDEP0056	WVLDEP0056	21	6444209	433280	original sample frame
WVLBRU0369	WVLBRU0369	21	65133237	438699	original sample frame/assessments monitoring cycle 1
WVLBRD0028	WVLBRD0028	21	65349745	440401	original sample frame
WVLKNO0053	WVLKNO0053	21	65518901	441723	original sample frame
WVLDEP0045	WVLDEP0045	21	65950897	445191	original sample frame
WVLKNO0024	WVLKNO0024	21	66026805	445779	original sample frame
WVLBRD0078	WVLBRD0078	21	67697	454946	original sample frame
WVLKNO0067	WVLKNO0067	21	7388469	459964	original sample frame
WVLKNO0010	WVLKNO0010	21	7601461	461654	original sample frame
WVLDEH0007	WVLDEH0007	21	8125877	465816	original sample frame
WVLKNO0274	WVLKNO0274	21	8191285	466304	original sample frame
WVLKNO0282	WVLKNO0282	21	8207669	466442	original sample frame
WVLMID0219	WVLMID0219	21	52644465	469568	original sample frame
WVLBRD0088	WVLBRD0088	21	862321	469723	original sample frame
WVLNWP0023	WVLNWP0023	21	9336625	475466	original sample frame
WVLKNO0286	WVLKNO0286	21	539957	539957	watersurfaces_hab_v4
WVLKOK0145	WVLKOK0145	21	1371953	1371953	watersurfaces_hab_v4
WVLKNO0373	WVLKNO0373	21	1801525	1801525	watersurfaces_hab_v4
WVLDEP0169	WVLDEP0169	21	1975473	1975473	watersurfaces_hab_v4
WVLBRD0123	WVLBRD0123	21	2959473	2959473	watersurfaces_hab_v4
WVLKNO0403	WVLKNO0403	21	3681589	3681589	watersurfaces_hab_v4
WVLKNO0291	WVLKNO0291	21	5718069	5718069	watersurfaces_hab_v4
WVLKNO0389	WVLKNO0389	21	7142709	7142709	watersurfaces_hab_v4
WVLNWP0092	WVLNWP0092	21	7943985	7943985	watersurfaces_hab_v4
WVLMID0150	WVLMID0150	21	9594673	9594673	watersurfaces_hab_v4
WVLDEP0117	WVLDEP0117	21	10018993	10018993	watersurfaces_hab_v4
WVLKOK0154	WVLKOK0154	21	10026801	10026801	watersurfaces_hab_v4
WVLDEP0146	WVLDEP0146	21	10342577	10342577	watersurfaces_hab_v4
WVLKNO0408	WVLKNO0408	21	10436661	10436661	watersurfaces_hab_v4
WVLKNO0386	WVLKNO0386	21	10845493	10845493	watersurfaces_hab_v4
WVLDEP0110	WVLDEP0110	21	11080881	11080881	watersurfaces_hab_v4
WVLKOK0127	WVLKOK0127	21	12384433	12384433	watersurfaces_hab_v4
WVLNWP0093	WVLNWP0093	21	12486449	12486449	watersurfaces_hab_v4
WVLMID0278	WVLMID0278	21	13060721	13060721	watersurfaces_hab_v4
WVLKOK0142	WVLKOK0142	21	15380273	15380273	watersurfaces_hab_v4
WVLDEP0136	WVLDEP0136	21	15444145	15444145	watersurfaces_hab_v4
WVLDEP0138	WVLDEP0138	21	15995057	15995057	watersurfaces_hab_v4
WVLDEP0168	WVLDEP0168	21	16655537	16655537	watersurfaces_hab_v4
WVLBRD0118	WVLBRD0118	21	17426545	17426545	watersurfaces_hab_v4
WVLBRD0124	WVLBRD0124	21	17639537	17639537	watersurfaces_hab_v4
WVLKNO0443	WVLKNO0443	21	18382133	18382133	watersurfaces_hab_v4
WVLKNO0240	WVLKNO0240	21	19349557	19349557	watersurfaces_hab_v4
WVLKNO0419	WVLKNO0419	21	19365173	19365173	watersurfaces_hab_v4
WVLDEH0383	WVLDEH0383	21	19662261	19662261	watersurfaces_hab_v4
WVLKNO0256	WVLKNO0256	21	19873845	19873845	watersurfaces_hab_v4
WVLNWP0091	WVLNWP0091	21	20002609	20002609	watersurfaces_hab_v4
WVLKNO0221	WVLKNO0221	21	20971573	20971573	watersurfaces_hab_v4
WVLKOK0131	WVLKOK0131	21	22347569	22347569	watersurfaces_hab_v4
WVLDEP0100	WVLDEP0100	21	22910129	22910129	watersurfaces_hab_v4
WVLDEP0094	WVLDEP0094	21	26464433	26464433	watersurfaces_hab_v4
WVLDEP0109	WVLDEP0109	21	26809521	26809521	watersurfaces_hab_v4
WVLKNO0418	WVLKNO0418	21	27753781	27753781	watersurfaces_hab_v4
WVLKOK0207	WVLKOK0207	21	28196657	28196657	watersurfaces_hab_v4
WVLMID0281	WVLMID0281	21	30624369	30624369	watersurfaces_hab_v4
WVLKNO0376	WVLKNO0376	21	30768437	30768437	watersurfaces_hab_v4
WVLDEP0133	WVLDEP0133	21	30779569	30779569	watersurfaces_hab_v4
WVLKOK0143	WVLKOK0143	21	32354097	32354097	watersurfaces_hab_v4
WVLKNO0174	WVLKNO0174	21	32456757	32456757	watersurfaces_hab_v4
WVLKNO0387	WVLKNO0387	21	33558069	33558069	watersurfaces_hab_v4
WVLKNO0411	WVLKNO0411	21	33635637	33635637	watersurfaces_hab_v4
WVLDEP0159	WVLDEP0159	21	34889905	34889905	watersurfaces_hab_v4
WVLKOK0155	WVLKOK0155	21	35192625	35192625	watersurfaces_hab_v4
WVLMID0279	WVLMID0279	21	35867249	35867249	watersurfaces_hab_v4
WVLKOK0144	WVLKOK0144	21	36548401	36548401	watersurfaces_hab_v4
WVLKNO0312	WVLKNO0312	21	36782133	36782133	watersurfaces_hab_v4
WVLDEP0137	WVLDEP0137	21	37033137	37033137	watersurfaces_hab_v4
WVLBRD0079	WVLBRD0079	21	37816433	37816433	watersurfaces_hab_v4
WVLKNO0379	WVLKNO0379	21	39353653	39353653	watersurfaces_hab_v4
WVLDEP0104	WVLDEP0104	21	40293553	40293553	watersurfaces_hab_v4
WVLKOK0005	WVLKOK0005	21	40655025	40655025	watersurfaces_hab_v4
WVLKNO0166	WVLKNO0166	21	40714293	40714293	watersurfaces_hab_v4
WVLBRD0115	WVLBRD0115	21	40773745	40773745	watersurfaces_hab_v4
WVLKNO0381	WVLKNO0381	21	43547957	43547957	watersurfaces_hab_v4
WVLNWP0012	WVLNWP0012	21	43661105	43661105	watersurfaces_hab_v4
WVLKOK0189	WVLKOK0189	21	43808945	43808945	watersurfaces_hab_v4
WVLKNO0222	WVLKNO0222	21	45301813	45301813	watersurfaces_hab_v4
WVLKOK0162	WVLKOK0162	21	45825841	45825841	watersurfaces_hab_v4
WVLDEP0107	WVLDEP0107	21	48682161	48682161	watersurfaces_hab_v4
WVLBRD0116	WVLBRD0116	21	49162353	49162353	watersurfaces_hab_v4
WVLMID0276	WVLMID0276	21	51013425	51013425	watersurfaces_hab_v4
WVLDEP0160	WVLDEP0160	21	51667121	51667121	watersurfaces_hab_v4
WVLKOK0161	WVLKOK0161	21	52117297	52117297	watersurfaces_hab_v4
WVLKNO0372	WVLKNO0372	21	52301365	52301365	watersurfaces_hab_v4
WVLDEH0308	WVLDEH0308	21	52364725	52364725	watersurfaces_hab_v4
WVLKNO0417	WVLKNO0417	21	52919605	52919605	watersurfaces_hab_v4
WVLKOK0164	WVLKOK0164	21	55848753	55848753	watersurfaces_hab_v4
WVLKNO0213	WVLKNO0213	21	55853109	55853109	watersurfaces_hab_v4
WVLDEP0105	WVLDEP0105	21	57070769	57070769	watersurfaces_hab_v4
WVLKNO0377	WVLKNO0377	21	57376053	57376053	watersurfaces_hab_v4
WVLBRD0114	WVLBRD0114	21	57550961	57550961	watersurfaces_hab_v4
WVLMID0280	WVLMID0280	21	58935921	58935921	watersurfaces_hab_v4
WVLKOK0167	WVLKOK0167	21	59570353	59570353	watersurfaces_hab_v4
WVLBRD0112	WVLBRD0112	21	59582577	59582577	watersurfaces_hab_v4
WVLBRD0113	WVLBRD0113	21	60369009	60369009	watersurfaces_hab_v4
WVLKOK0139	WVLKOK0139	21	61405361	61405361	watersurfaces_hab_v4
WVLMID0282	WVLMID0282	21	62360177	62360177	watersurfaces_hab_v4
WVLKNO0106	WVLKNO0106	21	63002293	63002293	watersurfaces_hab_v4
WVLKNO0290	WVLKNO0290	21	63127605	63127605	watersurfaces_hab_v4
WVLDEH0352	WVLDEH0352	21	63162481	63162481	watersurfaces_hab_v4
WVLKNO0391	WVLKNO0391	21	63389749	63389749	watersurfaces_hab_v4
WVLMID0116	WVLMID0116	21	64061041	64061041	watersurfaces_hab_v4
WVLKOK0163	WVLKOK0163	21	64700209	64700209	watersurfaces_hab_v4
WVLKNO0375	WVLKNO0375	21	64716085	64716085	watersurfaces_hab_v4
WVLDEP0108	WVLDEP0108	21	65459377	65459377	watersurfaces_hab_v4
WVLBRD0117	WVLBRD0117	21	65939569	65939569	watersurfaces_hab_v4
WVLDEP0164	WVLDEP0164	21	66884785	66884785	watersurfaces_hab_v4
WVLKOK0028	WVLKOK0028	21	37550257	NA	original sample frame/assessments monitoring cycle 1
LIMDST0108	LIMDST0108	28	1675858	1675858	watersurfaces_hab_v4
ANTTUR0304	ANTTUR0304	28	9883950	9883950	watersurfaces_hab_v4
LIMZNH0338	LIMZNH0338	28	14026450	14026450	watersurfaces_hab_v4
ANTTUR0296	ANTTUR0296	28	22107438	22107438	watersurfaces_hab_v4
ANTTUR0046	ANTTUR0046	28	26050862	26050862	watersurfaces_hab_v4
LIMHHE0002	LIMHHE0002	28	47109330	47109330	watersurfaces_hab_v4
ANTRET0249	ANTRET0249	29	6812918	6812918	watersurfaces_hab_v4
427605_v2020	427605_v2020	29	10152242	10152242	watersurfaces_hab_v4
532311_v2018	532311_v2018	29	11444342	11444342	watersurfaces_hab_v4
ANTRET0250	ANTRET0250	29	15201526	15201526	watersurfaces_hab_v4
427594_v2020	427594_v2020	29	16443698	16443698	watersurfaces_hab_v4
LIMHAS0479	LIMHAS0479	29	22396646	22396646	watersurfaces_hab_v4
LIMHVL0144	LIMHVL0144	29	22974134	22974134	watersurfaces_hab_v4
VBRARS0022	VBRARS0022	29	27783510	27783510	watersurfaces_hab_v4
LIMGNK0885	LIMGNK0885	29	31566130	31566130	watersurfaces_hab_v4
ANTMOL0577	ANTMOL0577	29	33661046	33661046	watersurfaces_hab_v4
LIMMSM0247	LIMMSM0247	29	34940498	34940498	watersurfaces_hab_v4
ANTMOL0770	ANTMOL0770	29	37332718	37332718	watersurfaces_hab_v4
413007_v2020	413007_v2020	29	38695254	38695254	watersurfaces_hab_v4
ANTSIL0316	ANTSIL0316	29	42947478	42947478	watersurfaces_hab_v4
427603_v2020	427603_v2020	29	46786866	46786866	watersurfaces_hab_v4
ANTGEE0141	ANTGEE0141	29	50064118	50064118	watersurfaces_hab_v4
ANTGRO0180	ANTGRO0180	29	55865046	55865046	watersurfaces_hab_v4
LIMLUM0151	LIMLUM0151	29	60189110	60189110	watersurfaces_hab_v4
427397_v2020	427397_v2020	29	62318898	62318898	watersurfaces_hab_v4
LIMKIN0001	LIMKIN0001	29	66334866	66334866	watersurfaces_hab_v4
WVLJAB0436	WVLJAB0436	30	48897	48897	watersurfaces_hab_v4
ANTTUR0348	ANTTUR0348	30	218158	218158	watersurfaces_hab_v4
ANTBSE0334	ANTBSE0334	30	222878	222878	assessments monitoring cycle 1
ANTMOL0092	ANTMOL0092	30	231150	231150	watersurfaces_hab_v4
ANTLIL0230	ANTLIL0230	30	254422	254422	watersurfaces_hab_v4
ANTKAS0501	ANTKAS0501	30	452054	452054	original sample frame/assessments monitoring cycle 1
LIMMSK0444	LIMMSK0444	30	529234	529234	watersurfaces_hab_v4
WVLZED0215	WVLZED0215	30	605953	605953	watersurfaces_hab_v4
LIMHAS0462	LIMHAS0462	30	687846	687846	original sample frame/assessments monitoring cycle 1
ANTBSE0321	ANTBSE0321	30	702110	702110	watersurfaces_hab_v4
ANTKAS0302	ANTKAS0302	30	705782	705782	original sample frame/assessments monitoring cycle 1
LIMLNK0118	LIMLNK0118	30	728050	728050	watersurfaces_hab_v4
ANTBCT0152	ANTBCT0152	30	759262	759262	watersurfaces_hab_v4
ANTOTH0015	ANTOTH0015	30	762158	762158	original sample frame/assessments monitoring cycle 1
ANTHST0290	ANTHST0290	30	786742	786742	original sample frame
ANTMOL0747	ANTMOL0747	30	893046	893046	watersurfaces_hab_v4
ANTBAA0048	ANTBAA0048	30	906654	906654	watersurfaces_hab_v4
LIMBRE0185	LIMBRE0185	30	925842	925842	watersurfaces_hab_v4
WVLHOU0552	WVLHOU0552	30	989137	989137	watersurfaces_hab_v4
LIMHHE0286	LIMHHE0286	30	1012434	1012434	original sample frame/assessments monitoring cycle 1
ANTGEE0859	ANTGEE0859	30	1103606	1103606	watersurfaces_hab_v4
377669_v2020	377669_v2020	30	1165618	1165618	watersurfaces_hab_v4
413019_v2020	413019_v2020	30	1208662	1208662	watersurfaces_hab_v4
VBRTWI0211	VBRTWI0211	30	1216422	1216422	watersurfaces_hab_v4
LIMGNK0372	LIMGNK0372	30	1227058	1227058	original sample frame/assessments monitoring cycle 1
ANTHUL0168	ANTHUL0168	30	1254486	1254486	watersurfaces_hab_v4
ANTARE0025	ANTARE0025	30	1304366	1304366	original sample frame/assessments monitoring cycle 1
ANTBSE0161	ANTBSE0161	30	1324702	1324702	watersurfaces_hab_v4
ANTKAS0420	ANTKAS0420	30	1470454	1470454	original sample frame
ANTKAS0403	ANTKAS0403	30	1498102	1498102	original sample frame/assessments monitoring cycle 1
ANTHGS0622	ANTHGS0622	30	1520990	1520990	original sample frame/assessments monitoring cycle 1
ANTHTS0151	ANTHTS0151	30	1554390	1554390	original sample frame/assessments monitoring cycle 1
WVLZED0220	WVLZED0220	30	1654529	1654529	watersurfaces_hab_v4
LIMDST0108	LIMDST0108	30	1675858	1675858	original sample frame/assessments monitoring cycle 1
ANTKAS0616	ANTKAS0616	30	1685462	1685462	watersurfaces_hab_v4
413190_v2020	413190_v2020	30	1765718	1765718	watersurfaces_hab_v4
ANTKAP0106	ANTKAP0106	30	1806302	1806302	original sample frame
LIMHHE0001	LIMHHE0001	30	1823954	1823954	watersurfaces_hab_v4
VBRARS0368	VBRARS0368	30	1958022	1958022	watersurfaces_hab_v4
LIMGNK0157	LIMGNK0157	30	2025778	2025778	watersurfaces_hab_v4
