polygon_id	grts_ranking	in_object	x	y
ANTANT0082	29020457	1	152674.82	205626.67
ANTANT0251	30645181	1	149699.86	220317.51
ANTANT0253	46898109	1	149888.58	220287.22
ANTANT0297	19512253	1	151996.08	219303.2
ANTANT0319	57195453	1	151293.81	218637.35
ANTANT0383	62794025	1	148260.84	208742.59
ANTARE0010	33767214	1	198319.69	230276.92
ANTARE0025	1304366	1	198859.3	231079.32
ANTARE0027	41959214	1	198745.47	230099.26
ANTARE0072	56040174	1	202718.64	223993.82
ANTARE0083	27204334	1	202702.67	223947.51
ANTARE0107	30874350	1	202693.44	224062.75
ANTARE0115	17963758	1	202279.29	224470.17
ANTARE0124	55778030	1	202313.48	223858.67
ANTARE0177	21699310	1	202418.61	224196.78
ANTARE0189	35068654	1	202703.71	224040.14
ANTARE0197	15211246	1	202807.16	223896.55
ANTARE0200	47027950	1	203142.82	221430.14
ANTARE0218	38935278	1	202317.77	224429.73
ANTARE0229	47609390	1	201482.8	224319.3
ANTARE0262	1186542	1	202299.79	224415.89
ANTARE0278	31136494	1	202318.97	224019.96
ANTARE0298	30373422	1	202246.01	224221.75
ANTARE0301	51911406	1	202832.81	223809.62
ANTARE0324	55933486	1	197213.16	223616.92
ANTARE0340	42956334	1	202169.24	224143.81
ANTBAA0036	54787374	1	187252.72	232388.23
ANTBAA0044	617774	1	185900.43	234169.98
ANTBAL0371	12845942	1	209651.92	208336.5
ANTBAL0373	62371702	1	208528.24	206152.68
ANTBAL0429	47179638	1	207728.99	205880.36
ANTBAL0443	13108086	1	209780.1	207921.45
ANTBAL0448	66323318	1	209536.25	208332.08
ANTBAL0451	34060150	1	208504.52	206111.74
ANTBAL0505	4843382	1	208207.4	206240.81
ANTBAL0559	13282934	1	210933.53	207810.96
ANTBAL0561	42845046	1	209195.45	206656.15
ANTBAL0591	9987958	1	206863.45	204825.68
ANTBAL0592	59467638	1	206906.43	204493.11
ANTBAL0594	4417398	1	206959.77	204622.88
ANTBAL0595	11757430	1	206962.85	204716.19
ANTBAL0596	39348086	1	206984.82	204863.41
ANTBAL0705	29910902	1	206955.31	204979.27
ANTBAL0709	59893622	1	208052.29	206133.59
ANTBAL0711	6860406	0	211028.38	207356.74
ANTBAL0762	42592118	1	208149	206290.77
ANTBCT0028	37037534	1	165755.43	227648.29
ANTBCT0134	55406046	1	165044.71	226919.93
ANTBCT0155	13987294	1	165248.64	226865.45
ANTBCT0231	64465118	1	163447.46	226520.34
ANTBCT0242	39823582	1	163808.3	226549.02
ANTBCT0252	31398110	1	162710.57	225036.55
ANTBCT0341	55276766	1	165625.27	224208.06
ANTBCT0404	4200670	0	163089.66	225024.49
ANTBCT0433	51423454	1	163930.63	226468.22
ANTBCT0458	13637854	1	163213.32	225184.48
ANTBCT0464	501982	1	163497.73	226401.56
ANTBCT0498	31889630	1	163257.1	225944.01
ANTBCT0528	29544606	1	169940.17	224675.35
ANTBCT0544	25453726	0	173743.46	226084.26
ANTBCT0559	32108702	1	173105.07	225861.27
ANTBCT0572	12439710	1	170333.04	224189.84
ANTBCT0579	39907486	1	173050.5	225928.32
ANTBCT0585	11510942	1	173773.22	225169.2
ANTBCT0600	33157278	1	173132.3	225916.72
ANTBCT0610	23130270	1	173050.83	225887.58
ANTBCT0801	64395486	1	163090.62	225917.14
ANTBOE0063	36033174	1	159181.87	207542.56
ANTBON0239	28936470	1	164429.59	187365.95
ANTBRM0195	39113449	1	143214.07	200204.55
ANTBRM0197	44290793	1	143540.17	200221.9
ANTBRM0202	9491177	1	143154.32	200579.16
ANTBRM0204	11326185	1	143079.38	200322.71
ANTBRM0205	53793513	1	143302	200222.69
ANTBRM0208	60609257	1	143114.13	200169.58
