polygon_id;point_code_vervang;grts_ranking;rank_rel_polygon;rank_rel_buffer;x;y
013649_v2020;1177233_1;4322961;2;1;36413,59;182926,11
013649_v2020;1177233_1;8517265;7;2;36445,59;182926,11
013649_v2020;1177233_1;9565841;9;3;36413,59;182862,11
013649_v2020;1177233_1;13760145;14;4;36413,59;182798,11
013649_v2020;1177233_1;17954449;20;5;36477,59;182862,11
013649_v2020;1177233_1;21100177;22;6;36381,59;182926,11
013649_v2020;1177233_1;22148753;26;7;36445,59;182798,11
013649_v2020;1177233_1;26343057;29;8;36381,59;182862,11
013649_v2020;1177233_1;34731665;39;9;36477,59;182830,11
013649_v2020;1177233_1;37877393;40;10;36413,59;182894,11
013649_v2020;1177233_1;38143633;42;11;36349,59;182926,11
013649_v2020;1177233_1;42071697;46;12;36445,59;182894,11
013649_v2020;1177233_1;43120273;49;13;36413,59;182830,11
013649_v2020;1177233_1;51508881;57;14;36445,59;182862,11
013649_v2020;1177233_1;54654609;59;15;36381,59;182894,11
013649_v2020;1177233_1;58848913;64;16;36477,59;182926,11
013649_v2020;128657_1;394897;1;1;36349,59;182958,11
013649_v2020;128657_1;4322961;2;2;36413,59;182926,11
013649_v2020;128657_1;5113489;4;3;36317,59;183022,11
013649_v2020;128657_1;8517265;7;4;36445,59;182926,11
013649_v2020;128657_1;9565841;9;5;36413,59;182862,11
013649_v2020;128657_1;11925137;11;6;36381,59;183054,11
013649_v2020;128657_1;12711569;13;7;36445,59;182958,11
013649_v2020;128657_1;16905873;15;8;36381,59;182990,11
013649_v2020;128657_1;17172113;17;9;36317,59;182990,11
013649_v2020;128657_1;17954449;20;10;36477,59;182862,11
013649_v2020;128657_1;21100177;22;11;36381,59;182926,11
013649_v2020;128657_1;21890705;24;12;36317,59;183054,11
013649_v2020;128657_1;26343057;29;13;36381,59;182862,11
013649_v2020;128657_1;28702353;31;14;36413,59;183022,11
013649_v2020;128657_1;29488785;33;15;36477,59;182958,11
013649_v2020;128657_1;32896657;34;16;36445,59;183022,11
013649_v2020;128657_1;33683089;35;17;36381,59;182958,11
013649_v2020;128657_1;33949329;36;18;36349,59;182990,11
013649_v2020;128657_1;37877393;40;19;36413,59;182894,11
013649_v2020;128657_1;38143633;42;20;36349,59;182926,11
013649_v2020;128657_1;38667921;44;21;36349,59;183054,11
013649_v2020;128657_1;42071697;46;22;36445,59;182894,11
013649_v2020;128657_1;45479569;50;23;36381,59;183022,11
013649_v2020;128657_1;50460305;54;24;36413,59;182990,11
013649_v2020;128657_1;51508881;57;25;36445,59;182862,11
013649_v2020;128657_1;54654609;59;26;36381,59;182894,11
013649_v2020;128657_1;55445137;61;27;36349,59;183022,11
013649_v2020;128657_1;58848913;64;28;36477,59;182926,11
013649_v2020;128657_1;62256785;66;29;36413,59;183054,11
013649_v2020;128657_1;63043217;68;30;36445,59;182990,11
013649_v2020;919185_1;5113489;4;1;36317,59;183022,11
013649_v2020;919185_1;7730833;6;2;36381,59;183086,11
013649_v2020;919185_1;11925137;11;3;36381,59;183054,11
013649_v2020;919185_1;16905873;15;4;36381,59;182990,11
013649_v2020;919185_1;17172113;17;5;36317,59;182990,11
013649_v2020;919185_1;17696401;19;6;36349,59;183086,11
013649_v2020;919185_1;21890705;24;7;36317,59;183054,11
013649_v2020;919185_1;22410897;27;8;36381,59;183150,11
013649_v2020;919185_1;24508049;28;9;36413,59;183086,11
013649_v2020;919185_1;28702353;31;10;36413,59;183022,11
013649_v2020;919185_1;33949329;36;11;36349,59;182990,11
013649_v2020;919185_1;34473617;38;12;36349,59;183118,11
013649_v2020;919185_1;38667921;44;13;36349,59;183054,11
013649_v2020;919185_1;42862225;48;14;36285,59;183054,11
013649_v2020;919185_1;45479569;50;15;36381,59;183022,11
013649_v2020;919185_1;46007953;52;16;36349,59;183150,11
013649_v2020;919185_1;47056529;53;17;36285,59;183118,11
013649_v2020;919185_1;50460305;54;18;36413,59;182990,11
013649_v2020;919185_1;51250833;56;19;36317,59;183118,11
013649_v2020;919185_1;55445137;61;20;36349,59;183022,11
013649_v2020;919185_1;58062481;63;21;36381,59;183118,11
013649_v2020;919185_1;62256785;66;22;36413,59;183054,11
013649_v2020;919185_1;63833745;69;23;36285,59;183086,11
106329_v2014;303942_1;1352518;1;1;183837,59;164750,11
106329_v2014;303942_1;15565638;2;2;183773,59;164718,11
106329_v2014;303942_1;17081158;3;3;183837,59;164686,11
106329_v2014;303942_1;21857094;4;4;183773,59;164686,11
106329_v2014;303942_1;32342854;5;5;183805,59;164750,11
106329_v2014;303942_1;38634310;6;6;183805,59;164686,11
106329_v2014;303942_1;44925766;7;7;183741,59;164718,11
106329_v2014;303942_1;46441286;8;8;183837,59;164622,11
106329_v2014;303942_1;51684166;9;9;183837,59;164718,11
106329_v2014;303942_1;55411526;10;10;183805,59;164654,11
106329_v2014;303942_1;65897286;11;11;183805,59;164718,11
108731_v2020;506841_1;4701145;1;1;108541,59;167342,11
108731_v2020;506841_1;5721049;2;2;108573,59;167406,11
108731_v2020;506841_1;6638553;3;;108541,59;167438,11
108731_v2020;506841_1;22498265;4;;108573,59;167438,11
108731_v2020;506841_1;23415769;5;3;108509,59;167406,11
108731_v2020;506841_1;26655705;6;4;108573,59;167278,11
108731_v2020;506841_1;38255577;7;5;108541,59;167374,11
108731_v2020;506841_1;40192985;8;6;108541,59;167406,11
108731_v2020;506841_1;51821529;9;7;108573,59;167374,11
108731_v2020;506841_1;55032793;10;8;108509,59;167374,11
109635_v2014;297201_1;821489;1;1;43293,59;198094,11
109635_v2014;297201_1;18122993;2;;43069,59;197966,11
109635_v2014;297201_1;28475633;3;;43421,59;198158,11
109635_v2014;297201_1;29657329;4;2;43165,59;198030,11
109635_v2014;297201_1;31621361;5;;43357,59;198126,11
109635_v2014;297201_1;45189361;6;;43005,59;197934,11
109635_v2014;297201_1;62030065;7;;43453,59;198158,11
109635_v2014;297201_1;65308913;8;;43101,59;197998,11
109790_v2014;4230578_1;5842354;1;1;247261,59;161806,11
109790_v2014;4230578_1;22619570;2;2;247293,59;161774,11
115262_v2020;2553489_1;3602065;1;1;36957,59;183630,11
115262_v2020;2553489_1;4912785;2;2;37021,59;183502,11
115262_v2020;2553489_1;5699217;3;3;37021,59;183662,11
115262_v2020;2553489_1;5961361;4;4;36989,59;183502,11
115262_v2020;2553489_1;6747793;5;5;37021,59;183566,11
115262_v2020;2553489_1;11990673;6;6;36957,59;183534,11
115262_v2020;2553489_1;19330705;7;7;37053,59;183630,11
115262_v2020;2553489_1;20379281;8;8;36989,59;183630,11
115262_v2020;2553489_1;21690001;9;9;37053,59;183502,11
115262_v2020;2553489_1;23525009;10;10;37053,59;183534,11
115262_v2020;2553489_1;28767889;11;11;36989,59;183566,11
115262_v2020;2553489_1;36107921;12;12;37021,59;183598,11
115262_v2020;2553489_1;37156497;13;13;36957,59;183598,11
115262_v2020;2553489_1;40302225;14;14;37053,59;183566,11
115262_v2020;2553489_1;45545105;15;15;36957,59;183566,11
115262_v2020;2553489_1;46593681;16;16;36989,59;183662,11
115262_v2020;2553489_1;52885137;17;17;37021,59;183630,11
115262_v2020;2553489_1;53933713;18;18;36989,59;183598,11
115262_v2020;2553489_1;57079441;19;19;37021,59;183534,11
115262_v2020;2553489_1;62322321;20;20;36989,59;183534,11
141650_v2020;347873_1;4935393;1;;55165,59;176334,11
141650_v2020;347873_1;12930785;2;1;55421,59;176430,11
141650_v2020;347873_1;17125089;3;2;55357,59;176398,11
141650_v2020;347873_1;17518305;4;;55069,59;176302,11
141650_v2020;347873_1;21712609;5;;55133,59;176334,11
141650_v2020;347873_1;34557665;6;3;55261,59;176366,11
145548_v2020;2135697_1;6330001;1;1;38077,59;183982,11
145548_v2020;2135697_1;7378577;2;2;38141,59;183886,11
145548_v2020;2135697_1;10786449;3;3;38173,59;183982,11
145548_v2020;2135697_1;11572881;4;4;38077,59;183886,11
145548_v2020;2135697_1;14718609;5;5;38141,59;183950,11
145548_v2020;2135697_1;14980753;6;6;38173,59;183950,11
145548_v2020;2135697_1;18912913;7;7;38141,59;183982,11
145548_v2020;2135697_1;21272209;8;8;38205,59;183886,11
145548_v2020;2135697_1;23107217;9;9;38077,59;184014,11
145548_v2020;2135697_1;24155793;10;10;38109,59;183886,11
145548_v2020;2135697_1;27301521;11;11;38077,59;183950,11
145548_v2020;2135697_1;31495825;12;12;38109,59;183950,11
145548_v2020;2135697_1;31757969;13;13;38173,59;183918,11
145548_v2020;2135697_1;35690129;14;14;38109,59;184014,11
145548_v2020;2135697_1;44078737;15;15;38077,59;183918,11
145548_v2020;2135697_1;48273041;16;16;38109,59;183918,11
145548_v2020;2135697_1;48535185;17;17;38205,59;183918,11
145548_v2020;2135697_1;52467345;18;18;38141,59;184014,11
145548_v2020;2135697_1;54826641;19;19;38173,59;183886,11
145548_v2020;2135697_1;56661649;20;20;38045,59;183982,11
145548_v2020;2135697_1;60855953;21;21;38045,59;183950,11
145548_v2020;2135697_1;65050257;22;22;38141,59;183918,11
