polygon_id;point_code_vervang;grts_ranking;rank_rel_polygon;rank_rel_buffer;x;y
103080_v2014;1285121_1;23763969;1;1;56605,59;211950,11
103080_v2014;1285121_1;45587457;2;2;56573,59;211918,11
103080_v2014;1285121_1;57318401;3;3;56637,59;211950,11
121306_v2014;2034782_1;7801950;1;1;179005,59;242926,11
121306_v2014;2034782_1;16190558;2;2;179069,59;242926,11
121306_v2014;2034782_1;32967774;3;3;179037,59;242958,11
121306_v2014;2034782_1;35589214;4;4;179037,59;242862,11
121306_v2014;2034782_1;45550686;5;5;179069,59;242990,11
121306_v2014;2034782_1;49744990;6;6;179069,59;242958,11
121306_v2014;2034782_1;60755038;7;7;179037,59;242830,11
121306_v2014;2034782_1;66522206;8;8;179037,59;242926,11
301444_v2016;1032326_1;5226630;1;1;179517,59;181966,11
309192_v2020;802950_1;1130630;1;1;178173,59;182734,11
309192_v2020;802950_1;2031750;2;2;178269,59;182766,11
309192_v2020;802950_1;30163078;3;3;178205,59;182734,11
309192_v2020;802950_1;31391878;4;4;178205,59;182766,11
309192_v2020;802950_1;34537606;5;5;178333,59;182766,11
309192_v2020;802950_1;46940294;6;6;178237,59;182734,11
309192_v2020;802950_1;48169094;7;7;178237,59;182766,11
309192_v2020;802950_1;51134598;8;8;178301,59;182734,11
309192_v2020;802950_1;51462278;9;9;178173,59;182702,11
309192_v2020;802950_1;52363398;10;10;178301,59;182766,11
309192_v2020;802950_1;55312518;11;11;178173,59;182766,11
309192_v2020;802950_1;64946310;12;12;178205,59;182798,11
315546_v2020;4713670_1;17595590;1;1;162717,59;179694,11
315546_v2020;4713670_1;21490886;3;2;162685,59;179662,11
315546_v2020;4713670_1;31227078;6;3;162685,59;179726,11
315546_v2020;4713670_1;34372806;8;4;162749,59;179726,11
315546_v2020;4713670_1;48004294;10;5;162685,59;179694,11
315546_v2020;4713670_1;51150022;12;6;162717,59;179726,11
315546_v2020;4713670_1;63433926;14;7;162685,59;179598,11
315546_v2020;818374_1;17595590;1;1;162717,59;179694,11
315546_v2020;818374_1;21490886;3;2;162685,59;179662,11
315546_v2020;818374_1;25984198;5;3;162717,59;179758,11
315546_v2020;818374_1;31227078;6;4;162685,59;179726,11
315546_v2020;818374_1;34372806;8;5;162749,59;179726,11
315546_v2020;818374_1;48004294;10;6;162685,59;179694,11
315546_v2020;818374_1;51150022;12;7;162717,59;179726,11
315546_v2020;818374_1;63433926;14;8;162685,59;179598,11
315629_v2016;2139858_1;4761298;1;1;224509,59;188622,11
315629_v2016;2139858_1;38315730;2;2;224509,59;188590,11
315629_v2016;2139858_1;65840850;3;3;224541,59;188654,11
316609_v2016;5728454_1;14117062;1;1;168797,59;177646,11
316609_v2016;5728454_1;16214214;2;2;168861,59;177710,11
316609_v2016;5728454_1;22505670;3;3;168829,59;177710,11
316609_v2016;5728454_1;24602822;4;4;168861,59;177646,11
316609_v2016;5728454_1;30894278;5;5;168829,59;177678,11
316609_v2016;5728454_1;41380038;6;6;168861,59;177678,11
316609_v2016;5728454_1;47671494;7;7;168797,59;177678,11
316609_v2016;5728454_1;58157254;8;8;168893,59;177678,11
316609_v2016;5728454_1;64448710;9;9;168829,59;177646,11
316609_v2016;5728454_1;66545862;10;10;168893,59;177710,11
316746_v2016;5295334_1;22072550;1;1;216701,59;176014,11
316746_v2016;5295334_1;39898342;3;2;216765,59;176046,11
316746_v2016;5295334_1;44092646;5;3;216733,59;176014,11
316746_v2016;6343910_1;22072550;1;1;216701,59;176014,11
316746_v2016;6343910_1;39898342;3;2;216765,59;176046,11
316746_v2016;6343910_1;44092646;5;3;216733,59;176014,11
328476_v2016;1926866_1;2975442;1;1;223421,59;188302,11
328476_v2016;1926866_1;4024018;2;2;223421,59;188238,11
328476_v2016;1926866_1;6121170;3;3;223325,59;188174,11
328476_v2016;1926866_1;18704082;4;4;223357,59;188238,11
328476_v2016;1926866_1;19752658;5;5;223389,59;188270,11
328476_v2016;1926866_1;35481298;6;6;223325,59;188206,11
328476_v2016;1926866_1;36529874;7;7;223421,59;188270,11
328476_v2016;1926866_1;37578450;8;8;223389,59;188238,11
328476_v2016;1926866_1;38627026;9;9;223357,59;188270,11
328476_v2016;1926866_1;52258514;10;10;223357,59;188206,11
328476_v2016;1926866_1;60647122;11;11;223293,59;188174,11
328476_v2016;1926866_1;64841426;12;12;223293,59;188206,11
342352_v2020;732114_1;2829266;1;1;230781,59;194766,11
342352_v2020;732114_1;3353554;2;2;230813,59;194798,11
342352_v2020;732114_1;6499282;3;3;230717,59;194798,11
342352_v2020;732114_1;10693586;4;4;230781,59;194830,11
342352_v2020;732114_1;11217874;5;5;230717,59;194702,11
342352_v2020;732114_1;13315026;6;6;230813,59;194702,11
342352_v2020;732114_1;15412178;7;7;230781,59;194670,11
