sample_id	segment_id	type	river_name	sac	catchment_area	grts_ranking	sample
407506_3260	943	35	GIELISBEEK	1	1	407506	1
728498_3260	1017	35	NOORBEEK	1	1	728498	1
1047854_3260	1088	35	GELSLOOPKE	1	1	1047854	1
1150886_3260	1690	35	NA	1	1	1150886	1
1391710_3260	814	35	GOUWBERGSE LOOP	1	1	1391710	1
2357110_3260	872	35	BRISDILLOOP	1	1	2357110	1
2485086_3260	806	35	GOUWBERGSE LOOP	1	1	2485086	1
2701266_3260	942	35	GIELISBEEK	1	1	2701266	1
3144798_3260	822	35	GOUWBERGSE LOOP	1	1	3144798	1
3286646_3260	876	35	BRISDILLOOP	1	1	3286646	1
3469714_3260	386	35	RENNE	1	1	3469714	1
4172754_3260	862	35	ABEEK	1	1	4172754	1
4256146_3260	385	35	RENNE	1	1	4256146	1
5042578_3260	388	35	RENNE	1	1	5042578	1
6675294_3260	802	35	GOUWBERGSE LOOP	1	1	6675294	1
6762706_3260	1241	35	BOLLISENBEEK	1	1	6762706	1
7401874_3260	383	35	RENNE	1	1	7401874	1
7550870_3260	1692	35	ANTITANKKANAAL	1	1	7550870	1
8185921_3260	1011	35	BORNEBEEK	1	1	8185921	1
8319378_3260	395	35	RENNE	1	1	8319378	1
8417234_3260	368	35	ABEEK	1	1	8417234	0
8469598_3260	815	35	GOUWBERGSE LOOP	1	1	8469598	0
8976594_3260	1459	35	ZWARTEBEEK	1	1	8976594	0
9302418_3260	390	35	RENNE	1	1	9302418	0
9436254_3260	824	35	GOUWBERGSE LOOP	1	1	9436254	0
9844690_3260	945	35	GIELISBEEK	1	1	9844690	0
10930130_3260	541	35	ABEEK	1	1	10930130	0
11085430_3260	882	35	BRISDILLOOP	1	1	11085430	0
12385374_3260	826	35	GOUWBERGSE LOOP	1	1	12385374	0
12995794_3260	475	35	BOLLISENBEEK	1	1	12995794	0
13119698_3260	473	35	BOLLISENBEEK	1	1	13119698	0
13757278_3260	810	35	GOUWBERGSE LOOP	1	1	13757278	0
14154846_3260	819	35	GOUWBERGSE LOOP	1	1	14154846	0
14761054_3260	817	35	GOUWBERGSE LOOP	1	1	14761054	0
14805854_3260	808	35	GOUWBERGSE LOOP	1	1	14805854	0
15087570_3260	944	35	GIELISBEEK	1	1	15087570	0
15203422_3260	821	35	GOUWBERGSE LOOP	1	1	15203422	0
