segment_code	river_name	wl_code	grts_ranking	sac	catchment_area	x	y
new_10015	De Aa	VL05_121	25641942	intersecting or downstream	> 10 km²	178562.961144068	209636.231810953
new_10317	Abeek	L107_861	33884114	intersecting or downstream	> 10 km²	230246.860799998	199446.594300002
new_10334	Abeek	L107_861	59574226	intersecting or downstream	> 10 km²	230291.802599996	199201.723099999
new_105801	Gracht Herseltseloop - Langestraat A	G	14780726	intersecting or downstream	NA	191462.2469	191979.175099999
new_105802	Gracht Herseltseloop - Langestraat A	G	47135030	intersecting or downstream	NA	191378.616090175	191949.104510893
new_105810	NA	G	34552118	intersecting or downstream	NA	191452.76853708	191905.789553519
new_108807	Beek	L217_5014	9786450	intersecting or downstream	< 10 km²	243734.628899999	196676.6538
new_108808	Beek	L217_5014	62215250	intersecting or downstream	< 10 km²	243828.295431862	196711.537313953
new_108809	Beek	L217_5014	63263826	intersecting or downstream	< 10 km²	243893.943226514	196759.23936004
new_111912	NA	G	40534002	intersecting or downstream	NA	240028.373914277	183340.033556065
new_111913	NA	G	32145394	intersecting or downstream	NA	240125.511325498	183336.783332364
new_111914	NA	G	15155186	intersecting or downstream	NA	240221.56587013	183350.274428525
new_113142	De Linie	G	37903977	intersecting or downstream	NA	129034.959319062	214350.231621285
new_113143	De Linie	G	6643305	intersecting or downstream	NA	129124.323420616	214387.880518468
new_113144	De Linie	G	32857705	intersecting or downstream	NA	129194.190425099	214448.919914323
new_113476	NA	G	43050030	intersecting or downstream	NA	186404.813299999	220373.644099999
new_113701	Hertenkuilloop	G	52346926	intersecting or downstream	NA	193790.124399997	225561.0383
new_11422	Maas	VL11_203	42372178	intersecting or downstream	> 10 km²	250824.076850592	201548.335935352
new_11428	Maas	VL11_203	63016018	intersecting or downstream	> 10 km²	251064.751735855	202073.747982803
new_11429	Maas	VL11_203	51481682	intersecting or downstream	> 10 km²	251136.229963564	202140.748750795
new_11430	Maas	VL11_203	9493906	intersecting or downstream	> 10 km²	251207.212215573	202208.207024811
new_11431	Maas	VL11_203	34659730	intersecting or downstream	> 10 km²	251274.22018385	202279.671115226
new_11432	Maas	VL11_203	48291218	intersecting or downstream	> 10 km²	251337.846373426	202354.112429639
new_114448	Kogbeek	L217_5001	43253842	outside	< 10 km²	247888.492708538	195265.81520825
new_114449	Kogbeek	L217_5001	25428050	outside	< 10 km²	247957.253786769	195197.01577205
new_114450	Kogbeek	L217_5001	27525202	outside	< 10 km²	248003.61426825	195112.050625909
new_114562	Ziepbeek	L217_5011	31045618	intersecting or downstream	< 10 km²	238251.422527975	181010.731899041
new_114563	Ziepbeek	L217_5011	26851314	intersecting or downstream	< 10 km²	238339.465379664	181048.40429356
new_114564	Ziepbeek	L217_5011	36550642	intersecting or downstream	< 10 km²	238427.77134697	181080.459768105
new_114565	Ziepbeek	L217_5011	45987826	intersecting or downstream	< 10 km²	238521.266426741	181113.671258282
new_114566	Ziepbeek	L217_5011	8239090	intersecting or downstream	< 10 km²	238587.262453151	181178.936859889
new_114567	Ziepbeek	L217_5011	59291634	intersecting or downstream	< 10 km²	238674.417789884	181195.52786842
new_114568	Ziepbeek	L217_5011	42186738	intersecting or downstream	< 10 km²	238751.7937051	181242.447634348
new_114569	Ziepbeek	L217_5011	21215218	intersecting or downstream	< 10 km²	238837.236654761	181241.444446114
new_114570	Ziepbeek	L217_5011	3717106	intersecting or downstream	< 10 km²	238857.419884155	181178.549345791
new_114571	Ziepbeek	L217_5011	10270706	intersecting or downstream	< 10 km²	238952.261037566	181159.364421546
