point_code;polygon_id;grts_ranking_draw;sbz;hoofdtype;habitattype;phab;type_meetpunt;datum_opname_cyclus1;x;y
1040518_1;342983_v2020;1040518;1;6230;6230_hn;100;bestaand meetpunt (niet weerhouden voor cyclus 2);2017-06-29;180381,80;184494,00
1085366_2;414574_v2020;1085366;1;6230;6230_hn;;bestaand meetpunt (niet weerhouden voor cyclus 2);2017-07-31;217214,90;197709,70
1095890_2;639013_v2020;1095890;1;6230;6230_hn;;bestaand meetpunt (niet weerhouden voor cyclus 2);2018-07-12;219509,70;198617,80
1107666_1;409732_v2018;1107666;1;6230;6230_ha;10;bestaand meetpunt (niet weerhouden voor cyclus 2);2018-06-19;224061,80;189806,10
1135826_2;421354_v2020;1135826;1;6230;6230_hn;20;bestaand meetpunt (niet weerhouden voor cyclus 2);2018-07-12;220022,40;196886,70
1212382_2;437242_v2018;1212382;1;6230;6230_hn;20;bestaand meetpunt (niet weerhouden voor cyclus 2);2018-06-27;159697,30;225447,30
1217746_2;421332_v2020;1217746;1;6230;6230_hn;10;bestaand meetpunt (niet weerhouden voor cyclus 2);2018-07-12;219393,70;196547,10
1249582_1;511134_v2018;1249582;1;6230;6230_ha;;bestaand meetpunt (niet weerhouden voor cyclus 2);2018-06-13;191101,70;230446,50
1255122_1;409732_v2018;1255122;1;6230;6230_ha;10;bestaand meetpunt (niet weerhouden voor cyclus 2);2018-06-19;223229,50;189806,30
1269458_1;409732_v2018;1269458;1;6230;6230_ha;10;bestaand meetpunt (niet weerhouden voor cyclus 2);2018-06-19;224125,40;189998,30
1359838_1;473571_v2018;1359838;1;6230;6230_hn;;bestaand meetpunt (niet weerhouden voor cyclus 2);2018-06-27;159325,60;225966,10
1395766_1;358613_v2020;1395766;0;6230;6230_hn;60;bestaand meetpunt (niet weerhouden voor cyclus 2);2019-05-27;198973,60;188398,10
1428270_1;591868_v2016;1428270;0;6230;6230_hn;60;bestaand meetpunt (niet weerhouden voor cyclus 2);2017-06-26;196637,60;229230,10
1448238_1;598533_v2014;1448238;1;6230;6230_ha;100;bestaand meetpunt (niet weerhouden voor cyclus 2);2020-08-06;191517,70;231726,00
1457206_1;358537_v2020;1457206;0;6230;6230_ha;;bestaand meetpunt (niet weerhouden voor cyclus 2);2019-05-24;198301,70;187854,00
1461302_1;358613_v2020;1461302;0;6230;6230_ha;;bestaand meetpunt (niet weerhouden voor cyclus 2);2019-05-27;198845,60;188333,90
1464626_1;345006_v2020;1464626;1;6230;6230_ha;;bestaand meetpunt (niet weerhouden voor cyclus 2);2019-07-02;224733,60;181838,20
1508278_1;594450_v2020;1508278;1;6230;6230_hn;90;bestaand meetpunt (niet weerhouden voor cyclus 2);2019-07-10;214781,50;201422,20
1531602_1;545815_v2018;1531602;1;6230;6230_ha;;bestaand meetpunt (niet weerhouden voor cyclus 2);2019-07-04;223933,70;190190,00
1593478_2;447854_v2018;1593478;1;6230;6230_ha;40;bestaand meetpunt (niet weerhouden voor cyclus 2);2019-07-08;180091,60;182159,50
1627010_2;673511_v2014;1627010;0;6230;6230_hnk;;bestaand meetpunt (niet weerhouden voor cyclus 2);2018-05-31;254788,30;158336,70
1631954_1;409732_v2018;1631954;1;6230;6230_ha;10;bestaand meetpunt (niet weerhouden voor cyclus 2);2019-07-04;223805,60;189870,10
1634546_1;569332_v2014;1634546;0;6230;6230_ha;20;bestaand meetpunt (niet weerhouden voor cyclus 2);2018-06-05;237021,60;174606,10
1660114_2;421351_v2020;1660114;1;6230;6230_hn;;bestaand meetpunt (niet weerhouden voor cyclus 2);2019-07-10;219707,60;196609,20
1660950_1;572187_v2014;1660950;0;6230;6230_hmo;;bestaand meetpunt (niet weerhouden voor cyclus 2);2017-06-23;162110,00;195726,10
1676498_2;421332_v2020;1676498;1;6230;6230_hn;10;bestaand meetpunt (niet weerhouden voor cyclus 2);2019-07-10;219438,30;196598,00
1711014_1;360526_v2020;1711014;1;6230;6230_ha;;bestaand meetpunt (niet weerhouden voor cyclus 2);2016-08-23;190141,60;182094,10
1713874_1;409732_v2018;1713874;1;6230;6230_ha;10;bestaand meetpunt (niet weerhouden voor cyclus 2);2019-07-04;223261,50;189838,10
1723446_2;358613_v2020;1723446;0;6230;6230_ha;;bestaand meetpunt (niet weerhouden voor cyclus 2);2019-05-27;198972,60;188112,00
1742034_2;421332_v2020;1742034;1;6230;6230_hn;10;bestaand meetpunt (niet weerhouden voor cyclus 2);2019-07-10;219459,90;196479,00
1793746_1;409732_v2018;1793746;1;6230;6230_ha;10;bestaand meetpunt (niet weerhouden voor cyclus 2);2020-07-22;223837,60;190030,10
1826514_1;545814_v2018;1826514;1;6230;6230_ha;10;bestaand meetpunt (niet weerhouden voor cyclus 2);2020-07-15;223581,60;190126,10
1829622_2;629010_v2020;1829622;1;7140;7140_meso;100;bestaand meetpunt (niet weerhouden voor cyclus 2);2018-05-15;189539,70;209786,10
1839666_1;677383_v2014;1839666;1;7140;7140_meso;100;bestaand meetpunt (niet weerhouden voor cyclus 2);2018-06-07;232157,60;178638,10
