"";"polygon_id";"point_code_vervang";"grts_ranking";"rank_rel_polygon";"rank_rel_buffer";"x_coord";"y_coord"
"1";"013649_v2020";"1177233_1";4322961;2;1;36413,591973471;182926,113583292
"2";"013649_v2020";"1177233_1";8517265;7;2;36445,591973471;182926,113583292
"3";"013649_v2020";"1177233_1";9565841;9;3;36413,591973471;182862,113583292
"4";"013649_v2020";"1177233_1";13760145;14;4;36413,591973471;182798,113583292
"5";"013649_v2020";"1177233_1";17954448;20;5;36477,591973471;182862,113583292
"6";"013649_v2020";"1177233_1";21100176;22;6;36381,591973471;182926,113583292
"7";"013649_v2020";"1177233_1";22148752;26;7;36445,591973471;182798,113583292
"8";"013649_v2020";"1177233_1";26343056;29;8;36381,591973471;182862,113583292
"9";"013649_v2020";"1177233_1";34731664;39;9;36477,591973471;182830,113583292
"10";"013649_v2020";"1177233_1";37877392;40;10;36413,591973471;182894,113583292
"11";"013649_v2020";"1177233_1";38143632;42;11;36349,591973471;182926,113583292
"12";"013649_v2020";"1177233_1";42071696;46;12;36445,591973471;182894,113583292
"13";"013649_v2020";"1177233_1";43120272;49;13;36413,591973471;182830,113583292
"14";"013649_v2020";"1177233_1";51508880;57;14;36445,591973471;182862,113583292
"15";"013649_v2020";"1177233_1";54654608;59;15;36381,591973471;182894,113583292
"16";"013649_v2020";"1177233_1";58848912;64;16;36477,591973471;182926,113583292
"17";"013649_v2020";"128657_1";394897;1;1;36349,591973471;182958,113583292
"18";"013649_v2020";"128657_1";4322961;2;2;36413,591973471;182926,113583292
"19";"013649_v2020";"128657_1";5113489;4;3;36317,591973471;183022,113583292
"20";"013649_v2020";"128657_1";8517265;7;4;36445,591973471;182926,113583292
"21";"013649_v2020";"128657_1";9565841;9;5;36413,591973471;182862,113583292
"22";"013649_v2020";"128657_1";11925137;11;6;36381,591973471;183054,113583292
"23";"013649_v2020";"128657_1";12711569;13;7;36445,591973471;182958,113583292
"24";"013649_v2020";"128657_1";16905872;15;8;36381,591973471;182990,113583292
"25";"013649_v2020";"128657_1";17172112;17;9;36317,591973471;182990,113583292
"26";"013649_v2020";"128657_1";17954448;20;10;36477,591973471;182862,113583292
"27";"013649_v2020";"128657_1";21100176;22;11;36381,591973471;182926,113583292
"28";"013649_v2020";"128657_1";21890704;24;12;36317,591973471;183054,113583292
"29";"013649_v2020";"128657_1";26343056;29;13;36381,591973471;182862,113583292
"30";"013649_v2020";"128657_1";28702352;31;14;36413,591973471;183022,113583292
"31";"013649_v2020";"128657_1";29488784;33;15;36477,591973471;182958,113583292
"32";"013649_v2020";"128657_1";32896656;34;16;36445,591973471;183022,113583292
"33";"013649_v2020";"128657_1";33683088;35;17;36381,591973471;182958,113583292
"34";"013649_v2020";"128657_1";33949328;36;18;36349,591973471;182990,113583292
"35";"013649_v2020";"128657_1";37877392;40;19;36413,591973471;182894,113583292
"36";"013649_v2020";"128657_1";38143632;42;20;36349,591973471;182926,113583292
"37";"013649_v2020";"128657_1";38667920;44;21;36349,591973471;183054,113583292
"38";"013649_v2020";"128657_1";42071696;46;22;36445,591973471;182894,113583292
