"";"point_code";"legacy_site";"main_type";"type";"phab";"polygon_id";"sac";"grts_ranking";"grts_ranking_draw";"measured_cycle1";"measurement_date";"selected_main_type";"selected_subtype";"panel";"jaar_opname_c2";"x_coord";"y_coord";"db_ref";"recording_givid"
"1";"1_1";FALSE;"2130";"2130_hd";40;"581354_v2014";1;103425;1;TRUE;2019-10-17;TRUE;TRUE;1;2023;55165,6;218574,1;"103425";"circle: IV2020032407405828; square: IV2020032407591177"
"2";"10137393_1";FALSE;"2190";"2190_overig";100;"444892_v2016";0;10137393;10137393;FALSE;NA;TRUE;FALSE;1;NA;33661,591973471;203982,113583292;NA;NA
"3";"11573_1";FALSE;"2180";"2180";NA;NA;1;11573;11573;TRUE;2020-09-09;TRUE;FALSE;2;2024;76829,6;226990,1;"11573";"circle: IV2020120215592681; square: IV2020120216014961"
"4";"122549_1";FALSE;"1330";"1330_hpr";100;"455713_v2016";0;122549;122549;TRUE;2022-07-31;TRUE;TRUE;3;2026;69597,6;220334,1;"122549";"circle: IV2022092721093873; square: IV2022092721103784"
"5";"13_1";FALSE;"2170";"2170";55;"561267_v2018";1;1240881;13;TRUE;2018-09-18;TRUE;FALSE;1;2022;33245,6;203918,1;"1240881";"circle: IV2019021815483401; square: IV2019021815521039"
"6";"137393_1";FALSE;"2160";"2160";30;"507120_v2018";0;137393;137393;TRUE;2020-08-19;TRUE;FALSE;2;2024;26429,6;201294,1;"137393";"circle: IV2020120210211261; square: IV2020120211422533"
"7";"19510_2";FALSE;"6230";"6230_hn";70;"358537_v2020";0;33311798;19510;TRUE;2016-09-08;TRUE;TRUE;1;2022;198481,7;188018,7;"19510";"circle: IV2017010616490548; square: IV2017010617551993"
"8";"20_2";FALSE;"2120";"2120";100;"560873_v2018";0;25538097;20;TRUE;2019-10-23;TRUE;FALSE;1;2023;30194,9;203498,8;"10071601";"circle: IV2020031619030019; square: IV2020031619093265"
"9";"20086_1";FALSE;"2310";"2310";70;"473105_v2018";0;20086;20086;FALSE;NA;TRUE;FALSE;1;NA;212797,592;210222,1136;NA;NA
"10";"20390_2";FALSE;"6410";"6410_mo";100;"359336_v2020";1;4214694;20390;TRUE;2021-07-29;TRUE;TRUE;3;2026;187101,6;180654,1;"20390";"circle: IV2022032109521908; square: IV2022032110531118"
"11";"21726_1";FALSE;"4010";"4010";100;"565057_v2014";0;21726;21726;FALSE;NA;TRUE;FALSE;1;NA;167741,6;223374,1;NA;NA
"12";"23086_1";FALSE;"7140";"7140_oli";100;"603754_v2014";1;23086;23086;TRUE;2016-09-19;TRUE;TRUE;1;2022;194717,6;225518;"23086";"circle: IV2017012711062779; square: IV2017012711193298"
"13";"2610_1";FALSE;"4030";"4030";100;"589782_v2014";0;2610;2610;FALSE;NA;TRUE;FALSE;1;NA;228701,6;183310,1;NA;NA
"14";"268341_1";FALSE;"2180";"2180";100;"638175_v2014";0;268341;268341;TRUE;2020-09-14;TRUE;FALSE;2;2024;72061,6;226190,1;"268341";"circle: IV2020120410244162; square: IV2020120410471019"
"15";"3_2";FALSE;"2120";"2120";76;"645479_v2020";1;103601;3;TRUE;2019-11-04;TRUE;FALSE;1;2023;23101,7;198451,4;"103601";"circle: IV2020031521153338; square: IV2020031521211018"
"16";"30418_2";FALSE;"6230";"6230_ha";95;"384251_v2018";1;16807634;30418;TRUE;2022-08-02;TRUE;TRUE;3;2027;225885,6;187662,1;"30418";"circle: IV2022091211043853; square: IV2022091211054641"
"17";"32053_2";FALSE;"2160";"2160";15;"507126_v2018";1;16809269;32053;TRUE;2020-07-06;TRUE;FALSE;2;2024;78556,2;228810,8;"32053";"circle: IV2021011216211239; square: IV2021011216244401"
"18";"36_1";FALSE;"2130";"2130_hd";NA;"590458_v2014";0;10160821;36;TRUE;2019-10-14;TRUE;TRUE;2;2024;64829,6;224206,1;"10160821";"circle: IV2020041015003402; square: IV2020041015045733"
"19";"37557_2";FALSE;"1330";"1330_hpr";100;"456664_v2016";1;37557;37557;TRUE;2015-08-11;TRUE;TRUE;1;2022;64359,6;219885,4;"37557";"circle: IV2017011215162577; square: IV2017011215184680"
"20";"4434_1";FALSE;"6510";"6510_hu";45;"361379_v2020";1;4434;4434;FALSE;NA;TRUE;TRUE;1;NA;247997,592;188686,1136;NA;NA
"21";"5046_1";FALSE;"2330";"2330_bu";100;"639358_v2020";1;5046;5046;FALSE;NA;TRUE;TRUE;1;NA;216093,591973471;200110,113583292;NA;NA
"22";"5330_1";FALSE;"2310";"2310";100;"414125_v2020";1;5330;5330;FALSE;NA;TRUE;FALSE;1;NA;218781,6;197454,1;NA;NA
"23";"555830_2";FALSE;"7140";"7140_meso";100;"629929_v2020";0;4750134;555830;TRUE;2021-07-19;TRUE;TRUE;2;2025;193885,6;201902,1;"555830";"circle: IV2022030909573927; square: IV2022030910341806"
"24";"6182_1";FALSE;"6510";"6510_hu";70;"610454_v2014";0;6182;6182;FALSE;NA;TRUE;TRUE;1;NA;204029,6;159598,1;NA;NA
"25";"62_1";FALSE;"2190";"2190_overig";100;"487758_v2020";1;10334001;62;TRUE;2018-08-14;TRUE;TRUE;1;2022;33309,6;203438,1;"10334001";"circle: IV2019021810361306; square: IV2019021810403014"
"26";"734_1";FALSE;"4010";"4010";100;"557132_v2018";1;734;734;FALSE;NA;TRUE;FALSE;1;NA;153661,6;233774,1;NA;NA
"27";"886_1";FALSE;"2330";"2330_bu";100;"475314_v2018";0;886;886;FALSE;NA;TRUE;TRUE;1;NA;209693,592;208174,1136;NA;NA
"28";"905382_1";FALSE;"6410";"6410_mo";NA;"628417_v2014";0;905382;905382;TRUE;2015-06-11;TRUE;TRUE;1;2022;196509,6;183374,1;"905382";"circle: IV2017022015155634; square: IV2017022015390187"
"29";"9938_1";FALSE;"4030";"4030";100;"447827_v2018";1;9938;9938;FALSE;NA;TRUE;FALSE;1;NA;223645,6;189070,1;NA;NA
"30";"1012434_2";FALSE;"7140";"7140_meso";30;"528555_v2018";0;11956946;1012434;TRUE;2021-07-07;TRUE;TRUE;3;2027;219133,6;190478,1;"1012434";"circle: IV2022030813442125; square: IV2022030814423559"
"31";"10774_1";FALSE;"6510";"6510_hu";100;"646869_v2014";0;10774;10774;FALSE;NA;TRUE;TRUE;1;NA;158205,6;196462,1;NA;NA
