"";"point_status";"legacy_site";"point_code";"main_type";"type";"phab";"polygon_id";"source_bwk";"sac";"grts_ranking";"grts_ranking_draw";"measured_cycle1";"measurement_date";"selected_main_type";"selected_subtype";"rank_rel_main_type";"rank_rel_subtype";"x_coord";"y_coord"
"1";"reserve_cycle2";FALSE;"10048689_1";"2190";"2190_mp";NA;"511689_v2020";"10";1;10048689;10048689;TRUE;2021-07-27;FALSE;FALSE;75;35;22717,59;198702,11
"2";"reserve_cycle2";FALSE;"1008502_1";"2330";"2330_bu";60;"555342_v2016";"147";0;1008502;1008502;FALSE;NA;FALSE;FALSE;32;108;209149,591973471;208494,113583292
"3";"reserve_cycle2";FALSE;"1012446_1";"2330";"2330_bu";100;"474525_v2018";"1510";1;1012446;1012446;FALSE;NA;FALSE;FALSE;93;109;154237,591973471;232366,113583292
"4";"reserve_cycle2";FALSE;"10135990_1";"7140";"7140_meso";30;"624640_v2014";"045";0;10135990;10135990;FALSE;NA;FALSE;FALSE;31;182;207549,591973471;189966,113583292
"5";"reserve_cycle2";FALSE;"1017206_1";"2330";"2330_bu";100;"533349_v2020";"162";0;1017206;1017206;FALSE;NA;FALSE;FALSE;33;110;212221,591973471;214958,113583292
"6";"reserve_cycle2";FALSE;"1026898_1";"2330";"2330_bu";90;"300946_v2016";"147";1;1026898;1026898;FALSE;NA;FALSE;FALSE;94;111;237245,6;195502,1
"7";"reserve_cycle2";FALSE;"10280897_1";"6410";"6410_mo";75;"508067_v2020";"167";0;10280897;10280897;FALSE;NA;FALSE;FALSE;28;128;76637,591973471;204014,113583292
"8";"reserve_cycle2";FALSE;"10304841_1";"7140";"7140_mrd";100;"511528_v2020";"147";1;10304841;10304841;FALSE;NA;FALSE;FALSE;289;12;93117,591973471;217806,113583292
"9";"reserve_cycle2";FALSE;"10310833_1";"2190";"2190_overig";60;"511719_v2020";"10";1;10310833;10310833;FALSE;NA;FALSE;FALSE;76;42;22653,6;198926,1
"10";"reserve_cycle2";FALSE;"10317874_1";"6410";"6410_mo";NA;NA;NA;0;10317874;10317874;TRUE;2019-07-04;FALSE;FALSE;29;129;219869,7;171981,5
"11";"reserve_cycle2";FALSE;"10327217_2";"2190";"2190_overig";64;"562322_v2018";"10";1;25007281;10327217;TRUE;2021-08-31;FALSE;FALSE;77;43;23101,7;198254,1
"12";"reserve_cycle2";FALSE;"1040518_1";"6230";"6230_hn";100;"342983_v2020";"1810";1;1040518;1040518;TRUE;2017-06-29;FALSE;FALSE;86;41;180381,8;184494
"13";"reserve_cycle2";FALSE;"10431797_1";"2180";"2180";20;"411432_v2014";"059";0;10431797;10431797;FALSE;NA;FALSE;FALSE;17;234;76445,591973471;226990,113583292
"14";"not_selelected";FALSE;"1044273_1";"2130";"2130_hd";NA;"444735_v2016";"05l";1;1044273;1044273;TRUE;2018-07-23;FALSE;FALSE;145;130;32541,6;203726,1
