polygon_id;point_code_vervang;grts_ranking;rank_rel_polygon;rank_rel_buffer;x;y
139759_v2020;1962161_1;5107889;1;1;23933,59;196046,11
139759_v2020;1962161_1;6156465;2;2;24061,59;195982,11
139759_v2020;1962161_1;7327921;3;3;24029,59;196078,11
139759_v2020;1962161_1;10350769;4;4;24029,59;196014,11
139759_v2020;1962161_1;14545073;5;5;23965,59;195950,11
139759_v2020;1962161_1;15716529;6;6;23997,59;196078,11
139759_v2020;1962161_1;18739376;7;7;23997,59;196014,11
139759_v2020;1962161_1;21885104;8;8;23901,59;196046,11
139759_v2020;1962161_1;22933680;9;9;24029,59;195982,11
139759_v2020;1962161_1;26079408;10;10;23901,59;195950,11
139759_v2020;1962161_1;27127984;11;11;24029,59;196046,11
139759_v2020;1962161_1;31322288;12;12;23965,59;195982,11
139759_v2020;1962161_1;35516592;13;13;23997,59;196046,11
139759_v2020;1962161_1;40882352;14;14;24061,59;196078,11
139759_v2020;1962161_1;42856624;15;15;23933,59;195982,11
139759_v2020;1962161_1;43905200;16;16;24061,59;196046,11
139759_v2020;1962161_1;48099504;17;17;23997,59;195982,11
139759_v2020;1962161_1;52293808;18;18;23965,59;196014,11
139759_v2020;1962161_1;55439536;19;19;23933,59;196014,11
139759_v2020;1962161_1;59633840;20;20;23933,59;195950,11
139759_v2020;1962161_1;60682416;21;21;24061,59;196014,11
139759_v2020;1962161_1;64876720;22;22;23997,59;195950,11
166807_v2020;4871345_1;677041;1;1;22845,59;198318,11
166807_v2020;4871345_1;6444209;2;;22845,59;198446,11
166807_v2020;4871345_1;17192112;3;2;22781,59;198350,11
166807_v2020;4871345_1;17454256;4;3;22813,59;198318,11
166807_v2020;4871345_1;21386416;5;;22685,59;198350,11
166807_v2020;4871345_1;23221424;6;;22813,59;198446,11
166807_v2020;4871345_1;33969328;7;4;22749,59;198350,11
166807_v2020;4871345_1;34231472;8;5;22813,59;198350,11
166807_v2020;4871345_1;36590768;9;;22685,59;198382,11
166807_v2020;4871345_1;38163632;10;6;22717,59;198350,11
166807_v2020;4871345_1;49173680;11;;22749,59;198414,11
166807_v2020;4871345_1;50746544;12;7;22781,59;198318,11
166807_v2020;4871345_1;53367984;13;;22717,59;198414,11
