plot_id;periode;type;source;note_manual_check;phab
17144;2;91E0;habitatmap2023;;30
26148;2;9120;habitatmap2023;;100
27131;2;9190;habitatmap2023;;30
27156;2;9120_qb;habitatmap2023;;70
27156;2;9120;habitatmap2023;;30
35106;2;91E0_vm;habitatmap2023;;100
35114;2;9120;habitatmap2023;;100
74049;2;91E0_vo;habitatmap2023;;100
74050;2;9190;habitatmap2023;;50
74067;2;9190;habitatmap2023;;70
74067;2;9120;habitatmap2023;;30
74090;2;9190;habitatmap2023;;100
74143;2;9120;habitatmap2023;;100
77038;2;9190;habitatmap2023;;70
77040;2;9190;habitatmap2023;;100
77048;2;9120;habitatmap2023;;30
78033;2;9190;habitatmap2023;;100
78041;2;9190;habitatmap2023;;100
78044;2;9190;habitatmap2023;;50
78046;2;9190;habitatmap2023;;100
78059;2;9190;habitatmap2023;;100
78060;2;9190;habitatmap2023;;100
78133;2;9120;habitatmap2023;;100
78135;2;9190;habitatmap2023;;50
78148;2;9120;habitatmap2023;;100
78156;2;9120;habitatmap2023;;100
81133;3;9190;assessment_vbi/habitatmap2023;;70
82126;2;9120_qb;habitatmap2023;;100
83070;2;91E0_vm;habitatmap2023;;100
83116;2;9190;habitatmap2023;;50
83121;2;91E0_vn;habitatmap2023;;100
83121;2;91E0_va;habitatmap2023;;0
83147;2;9120;habitatmap2023;;100
84016;2;91E0_vn;habitatmap2023;;100
85064;3;9190;manual_check/habitatmap2023;vegopname en/of bosleeftijd;
85126;2;9120_qb;habitatmap2023;;70
85147;3;9120;manual_check/habitatmap2023;vegopname;
85155;3;9190;assessment_vbi/habitatmap2023;;50
85156;3;9190;manual_check/assessment_vbi;twijfel;
86044;3;9190;manual_check/habitatmap2023;vegopname en/of bosleeftijd;
86117;2;9120;manual_check/habitatmap2023;9120vs9190;
86134;2;9120;manual_check/habitatmap2023;9120vs9190;
86136;2;9120;manual_check/habitatmap2023;9120vs9190;
86141;2;9120;assessment_vbi/habitatmap2023;;100
86142;2;9190;assessment_vbi/habitatmap2023;;100
86144;2;9120;habitatmap2023;;100
86149;2;9120;manual_check/habitatmap2023;vegopname en/of bosleeftijd;
87010;2;9190;habitatmap2023;;100
87119;2;9120;habitatmap2023;;90
87119;2;9190;habitatmap2023;;10
87123;2;91E0_vn;habitatmap2023;;60
87123;2;9120;habitatmap2023;;0
87127;2;9190;habitatmap2023;;100
87131;2;91E0_vn;habitatmap2023;;100
87131;2;9120;habitatmap2023;;0
87135;2;9120;habitatmap2023;;100
88040;2;9190;habitatmap2023;;100
88092;2;9160;habitatmap2023;;30
88113;2;9120;habitatmap2023;;100
88121;2;9120;habitatmap2023;;100
88123;2;9190;habitatmap2023;;95
88129;2;9120;habitatmap2023;;100
88134;2;9190;habitatmap2023;;70
88144;2;91E0_vm;habitatmap2023;;100
88155;2;9190;habitatmap2023;;100
88156;2;91E0_vm;habitatmap2023;;100
88160;2;91E0_vm;habitatmap2023;;80
88160;2;91E0_vo;habitatmap2023;;20
91017;2;9190;habitatmap2023;;50
91025;2;9190;habitatmap2023;;30
91108;2;9190;habitatmap2023;;30
91123;2;9190;habitatmap2023;;30
91143;2;9190;habitatmap2023;;100
95001;2;9190;habitatmap2023;;100
